data_name,data_preprocessing_name,metric_name,metric_value,predicted_client_name,cross_validation_method,seed
Proteomics Data,corrected,MCC,1.0,lab_D,Train-Test-Split,43
Proteomics Data,corrected,F1_score,1.0,lab_D,Train-Test-Split,43
Proteomics Data,corrected,MCC,1.0,lab_E,Train-Test-Split,43
Proteomics Data,corrected,F1_score,1.0,lab_E,Train-Test-Split,43
Microarray Data,uncorrected,MCC,0.8823529411764706,All,Train-Test-Split,43
Microarray Data,uncorrected,F1_score,0.9411764705882352,All,Train-Test-Split,43
Microarray Data,uncorrected,MCC,1.0,GSE14407,Train-Test-Split,43
Microarray Data,uncorrected,F1_score,1.0,GSE14407,Train-Test-Split,43
Microarray Data,uncorrected,MCC,0.8974358974358975,GSE26712,Train-Test-Split,43
Microarray Data,uncorrected,F1_score,0.9487179487179488,GSE26712,Train-Test-Split,43
Microarray Data,uncorrected,MCC,1.0,GSE38666,Train-Test-Split,43
Microarray Data,uncorrected,F1_score,1.0,GSE38666,Train-Test-Split,43
Microarray Data,uncorrected,MCC,1.0,GSE40595,Train-Test-Split,43
Microarray Data,uncorrected,F1_score,1.0,GSE40595,Train-Test-Split,43
Microarray Data,uncorrected,MCC,0.6666666666666666,GSE6008,Train-Test-Split,43
Microarray Data,uncorrected,F1_score,0.8333333333333334,GSE6008,Train-Test-Split,43
Microarray Data,uncorrected,MCC,0.5,GSE69428,Train-Test-Split,43
Microarray Data,uncorrected,F1_score,0.75,GSE69428,Train-Test-Split,43
Microarray Data,corrected,MCC,0.9705882352941176,All,Train-Test-Split,43
Microarray Data,corrected,F1_score,0.9852941176470588,All,Train-Test-Split,43
Microarray Data,corrected,MCC,1.0,GSE14407,Train-Test-Split,43
Microarray Data,corrected,F1_score,1.0,GSE14407,Train-Test-Split,43
Microarray Data,corrected,MCC,1.0,GSE26712,Train-Test-Split,43
Microarray Data,corrected,F1_score,1.0,GSE26712,Train-Test-Split,43
Microarray Data,corrected,MCC,1.0,GSE38666,Train-Test-Split,43
Microarray Data,corrected,F1_score,1.0,GSE38666,Train-Test-Split,43
Microarray Data,corrected,MCC,1.0,GSE40595,Train-Test-Split,43
Microarray Data,corrected,F1_score,1.0,GSE40595,Train-Test-Split,43
Microarray Data,corrected,MCC,1.0,GSE6008,Train-Test-Split,43
Microarray Data,corrected,F1_score,1.0,GSE6008,Train-Test-Split,43
Microarray Data,corrected,MCC,0.5,GSE69428,Train-Test-Split,43
Microarray Data,corrected,F1_score,0.75,GSE69428,Train-Test-Split,43
Microbiome Data,uncorrected,MCC,0.4814814814814814,All,Train-Test-Split,43
