Ref8537_QC1_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S11_20230414	Ref8537_S35_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s50_X011	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018
P0A7M6	174154000	237466000	168469000	143968000	162205000	151959000	225087000	252300000	242824000	244650000	223944000	219948000	216917000	202113000	223430000	220337000	1410460	1788090	1927760	1509050	1774660	1770180	1839700	1819260	1567760	1914600	2035920	1581410	1948560	172445000	133418000	122607000	122783000	137176000	137821000	125461000	97334500	143493000	141001000	128734000	186070000	140528000	140280000	52155200	50684000	51478400	56893700	68926300	74730400	67256300	77831800	72904400	76740600	80205200	71659100	55246900	77743200	81793800	25310400	23634500	23742700	25972000	21917800	25259700	23730900	24815800	22019000	25049000	31958600	29377000	28956300	29988000	29225700
P64506	20812700	24538900	24654600	26732100	30148200	28288200	33120000	36868200	33325100	39829900	31146900	30065200	28578500	32263800	33869500	33944800	331680	454496	259310	313791	348386	345876	365030	221504	432728	155449	386222	247518	340032	26547100	21155400	18637900	20225300	21741300	20705800	20534100	15130000	22768300	22397500	18088000	28474900	18776100	22100300	4886120	4823280	5346860	5543710	6069810	5956660	5141590	5475740	5878490	5350360	5828680	5538840	5266710	5501320	5895720	2448080	2220630	2403480	2336940	2191350	2459640	2334310	2304150	2082510	2181430	2837280	2743610	2486420	2609050	2524560
P0AGH1	2165280	1252740	1273750	1439400	1969980	1960200	898728	1286750	1396150	757360	1466000	445287	1337740	1849700	1235740	1200590	15169.5	8239.54	6570.7	22437.4	16802.7	14824.7	26726.6	NA	21513.4	NA	9081.29	NA	29895.9	1132240	1110780	1308750	672972	1578210	1137410	573475	1182240	1044140	667164	847916	566760	156094	692091	621935	623152	684819	611525	407491	441437	405010	307786	358748	415440	320853	438920	652563	470700	348417	287126	254083	320378	244443	276640	310515	290797	250410	277822	276855	222423	196049	194345	206747	245535
P0AC92;P77695	18259300	15615500	13333100	18849300	21101200	15112800	15616400	19704700	16151900	17394300	17500700	15991100	18838500	14823600	16270200	18577800	397116	667595	424889	481003	498479	461913	632394	355758	418939	155248	475251	616152	335624	20189900	17942100	16723900	18392300	17410000	19446000	16284100	13846900	21060300	20177600	18527600	15927300	12624300	17349800	4566970	5227230	5026970	5674230	5206900	5328270	4701850	5296550	5642520	5050960	5793380	5208440	6028560	5319490	4638120	2301520	1855100	2424100	2320020	2035670	2090380	2271530	2268470	1902630	2083440	1923000	2041120	2063680	1793280	1380580
P07013	854278	748379	1212340	941908	1646030	976237	596796	989752	661231	1409380	1472370	793296	839048	NA	861595	1618270	13892.8	17010.9	17587.7	15525.2	18410	18361.1	20941.6	12677.3	18092.6	14589.2	17731.4	15302.6	14438.2	3995740	3700380	3989660	3421070	3749030	3621150	3414140	3551770	3598290	3719360	3488640	4892110	4131790	3713240	934414	865801	915222	952537	1033080	1013340	1082250	1059410	973206	986713	1114150	997802	1052740	980603	1090210	299141	300269	293650	338707	285925	351620	348907	337656	359701	304829	382750	367461	355107	365119	383964
P77335	1681380	2395980	1998100	2209900	2180710	3780690	3065060	3103950	2206720	4292980	1957630	3171200	1942930	2513920	3474840	2249880	10603.1	7377.43	7104.11	7230.65	7552.36	7817.68	6731.7	6434.57	7424.02	8227.04	9432.79	6621.66	14001	516453	446929	446276	320557	939016	603697	322260	544035	351248	460550	542287	304484	689413	611164	1593370	1392640	1581710	1682020	1541160	1665860	1399910	1794050	1827970	1807770	2096330	2050580	1624410	1842830	1739290	98208.1	NA	106888	62212.6	130113	105849	79547.5	131118	44833.9	102446	78548.1	80151	89966.1	119922	52701.1
P02920	5522970	2140870	2431750	8631750	5175590	5950760	1561600	2291350	1988600	2015900	2404850	2518540	2204790	2062080	2157570	2595190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0A752	7762680	7462850	7647920	7208110	7098230	5730500	6348780	7332270	6253030	5325650	7098730	6725280	8209820	6997860	6742450	7465130	12555	16206.3	23510	13257.6	19794	19098.5	19049.6	20814	11525.3	23704.5	19465.2	22974.2	17280.6	2460810	2172900	2160210	1772870	1884080	2276010	1967960	1475090	2105050	1985040	1887030	1932810	1928630	1809560	1395660	1272460	1317290	1173730	1396400	1346040	1258600	1231000	1129040	1301170	1343370	1298090	1210030	1209800	1205220	230256	236400	203347	247496	131756	224979	228590	244586	170835	208411	221028	236371	193028	206801	251714
P77295	376459	384972	413099	312221	303463	185992	230924	311717	341755	224734	254749	364898	302363	294580	324945	125821	14196.5	13420.4	8961.32	13584	13787.2	11357.8	9881.58	7586.17	13702.4	8771.63	14571	7964.97	12092.9	343290	326302	291133	302997	261897	295390	323659	309546	301679	290211	318378	288911	305450	256682	345100	292340	268266	231449	330861	266514	363877	274431	295156	295602	343695	282202	246528	273601	309835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P21189	2278230	2000020	2288510	2966270	2163160	2189710	2361440	2108450	1929910	2476630	2196890	1869210	1946060	2660790	1671710	2513480	21224.8	22842.8	27759.4	28119.6	24904.6	22053.8	28581.4	33914.4	29107.7	29546.1	22042.4	36822.2	22234.5	401475	421588	438735	549814	510243	434365	514651	510910	459080	500923	478001	459441	385705	390318	867368	864868	897031	905886	727337	759785	721630	774546	705277	839242	760766	812370	878852	789579	741269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P36566	4165950	3658900	3630680	3457030	3259160	2933370	3735620	3071360	3276920	3431310	3735800	3313840	4141190	3661980	3995990	4100710	18814	18452.9	13760.6	15800.8	23324.4	16958.6	16634.8	16452.6	20437.5	15517.3	19013.5	15298.6	20520.2	2504520	2815070	2661300	2599000	2607560	2706440	2292810	2654740	2398200	2493350	2793040	2545240	3219440	2796810	721941	730144	692901	664822	689698	686566	801686	636569	665515	651650	639018	740197	646990	707796	649509	136208	136423	140902	107735	125034	133654	120677	121036	136063	132584	157158	125287	117035	154026	145690
P67601	953755	627077	716194	933718	713850	263491	844157	769786	993094	285571	1070690	536499	1308890	959572	471980	707163	1799.69	1609.53	1745.12	2147.09	1706.4	1553.86	1075.01	NA	1395.37	2885.05	2392.67	1603.2	3410.87	116952	105799	38845.3	126886	66097.3	56524.6	133534	14203.3	97816.1	62560.8	45099.1	NA	87975.2	113672	60104.5	40263.9	49391.2	55843.4	NA	34963.9	42184.4	39852.1	39601.9	28878.9	35156.7	48091.1	28152.9	53534.2	36910.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AC44	4796370	482405	735730	3410880	4614110	2098300	242713	642607	948244	516916	943595	546272	775007	413783	585200	616823	2457.9	4790.81	3248.07	3999.78	4586.46	2033.35	1790.85	2909.56	3008.17	NA	1968.67	NA	NA	234768	252242	133201	NA	241417	176448	170012	261686	246507	444615	249036	NA	NA	NA	531802	516049	485914	565860	350657	260343	NA	213541	NA	370942	NA	413279	391745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0ACX3	103832000	66472100	66719600	71121500	91565700	66402400	58706300	74860700	61375300	57040300	63498700	63122100	84268000	68110700	56838700	73943900	206852	243950	200541	230737	228820	200648	219945	188850	251996	121136	193520	93591.2	170329	35271400	34608200	27827200	33048100	28406700	32889200	26360600	18845800	35273100	36028400	29991300	14644100	19857100	18513500	19796400	18798700	18567300	18706800	15478200	16261400	12996700	14710800	14561100	14543000	14756300	13869100	18533600	14709700	13591800	6552240	6408380	5415360	7251790	5596880	6113070	6641810	6538740	5695190	6366440	2836430	3087160	3220140	3144730	3310460
P23200	6683940	NA	NA	9062160	10339800	3359660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	541950	605113	697577	707132	NA	NA	NA	NA	NA	NA	NA	NA	307070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0ABQ4	8805090	6844320	7297540	8527590	8647280	10603500	7930680	8088850	7911080	9246960	8349690	8346040	7337740	6584400	9288410	8173490	66276.3	78723.9	88824.6	65275.8	68576.9	67642.7	82651.9	75750.4	72209.6	48750.9	66148.9	54913.2	52766.1	5949640	4709040	4781510	4004060	4707870	5084660	5282630	3218590	5797580	4959530	4591460	4898670	3143810	3638560	3892560	4708730	4621810	4440680	3700660	4155910	3624220	4070720	4039450	3401080	3553900	3590930	4100300	3407230	3764390	1258040	1318170	1419100	1382360	1159250	1358610	1410550	1372480	1184220	1404040	1035680	1070880	869102	889804	914836
P46139	72263.7	116107	134731	NA	NA	34965.5	NA	NA	129868	NA	137580	146168	180552	172207	100462	117774	1246.95	731.256	1277.78	400.698	737.543	953.174	674.473	2274.94	346.66	2908.6	1876.96	2780.8	1509	70217.5	82905.7	96644.6	97308.7	47601.1	53467.7	89937.6	80896.5	63056.3	NA	76814.8	79292	140453	141223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P46022	3802370	3267870	2656400	4325260	3171820	2580250	2512410	2382510	2626100	1625340	2285320	2528220	2383420	2419000	2399210	1908740	2399.32	1769	2721.57	2654.11	1997.91	NA	3078.45	3318.23	1429.01	2910.36	1526.47	NA	1675.79	617838	659564	629253	743433	613306	646843	751512	487012	711118	572656	714077	406717	425925	481379	244503	273779	260742	255312	180033	174557	179205	172396	192544	194638	179447	191237	240403	172967	164100	81974.8	85019.1	89930.9	70937	105654	94163.7	94826.2	87518.1	107410	103506	60977.1	75735.2	73850.3	84357.3	66433.8
P16528	719342	736586	811814	878381	646650	698860	912756	993915	1131050	661371	1037420	697890	906603	937462	621391	852482	9234.59	15330.5	15170.2	13506.7	14297.5	14573.1	17114.9	16563.8	11759.3	21484.4	17816.5	16018.2	15748.3	637768	659333	669304	678225	677782	733760	859889	645091	795279	669749	761161	893960	1071500	942760	266669	304189	283345	270878	386741	364491	382180	345205	335656	326973	338610	328373	254110	334949	348304	120193	122170	119583	83601.1	135859	99887.6	76589.5	79533.7	115315	89474.4	181322	177041	178011	181084	204233
P27245	1093860	1033130	1126830	1710540	1120090	985652	1296260	1611830	NA	1383120	1579360	1166110	1480170	1395910	NA	1294450	1944.8	2292.15	3571.05	1256.71	966.361	2303.82	1963.85	2173.59	1016.22	9097.65	1924.74	11060.3	1073.48	NA	NA	267293	NA	283130	203647	NA	197179	192864	NA	603204	383916	299049	327839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AAC4	14038300	11832500	13600200	16634900	12783800	9583460	8116550	14739200	8813240	11173100	12506900	12331200	13256500	8406120	9283750	12664400	2302.29	2349.79	3219.58	1783.98	12155.3	937.51	2220.39	3139.92	2994.02	1690.66	3037.89	2279.56	1697.03	2053890	2614240	2023520	2594120	2443310	2303540	2731030	3365120	2785100	2561410	2423520	2632590	1912930	3394150	5607200	5854400	6028740	6292700	4297040	4595390	4263470	4228880	4125300	4122670	3485930	4350910	4534770	4856030	4619110	1432540	1400610	1113080	1396420	1466570	1504880	1742070	1552600	1416230	1534900	1054810	1207290	1099340	1174970	1337360
P31434	19127.7	25081.1	23617.4	25410.1	NA	20267.8	21507.8	18420	21303.3	32129.5	5757.27	26683	15332.2	18575.7	29939.5	14830.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92798.3	146443	165979	158200	147941	104999	92220.2	155318	143805	150905	144974	NA	60959.5	100595	205882	216893	191213	230466	197886	195496	266605	224593	243040	231238	323919	246828	294051	283147	318108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q2M7X4	3605870	2686720	1874870	3882340	3649330	3087740	3306930	3135350	2943570	3196190	2296590	2877660	3023500	2044480	2034290	2971860	20959.1	21489.4	20071.9	22501.2	22487.1	17809.8	23315.5	10505.9	27275	8003.38	19018.9	15451.4	18955.3	4533530	3822370	3489690	4868220	3495070	4049340	5001620	2133120	4922640	3931100	3360620	3030600	1932120	2166340	935056	1005960	1046580	1108150	712749	708622	647511	774530	757710	817904	763513	705820	955712	685641	717839	387856	289799	376604	402166	255996	448667	476568	326823	224794	361175	120834	174922	166273	133516	133776
P08190	5778030	3753980	3596040	4339350	5061800	4558630	2619980	4125950	3016520	2997120	3632400	3629840	3917290	2617630	3404220	3380210	33095.8	20739.6	13324.8	19088	10412.8	21991.5	12826.2	4723.65	16456	4820.05	13287.5	4842.9	13659.2	1111750	1045860	604512	3349320	2031920	2141100	2030300	1473470	2358730	1814860	2874550	1639300	2087480	1326800	459433	813570	1608370	1327870	734752	1018640	853474	1043260	842216	801498	511459	632185	1278570	597986	769514	464263	648153	497957	628021	390380	544520	484640	480374	334034	516478	292957	321333	351589	364030	441344
P23485	858899	1412400	1813600	1269290	564939	709086	1699880	2307530	2105630	1711070	2657300	1987650	2896300	1964780	809345	3069290	4881.82	3185.91	2369.28	4471.06	2231.67	2361.51	3749.35	2519.94	2077.35	7641.53	11165.6	7077.11	8960.21	311072	287607	357659	757718	443654	302518	515813	162906	404499	375327	360571	816540	951393	919038	152881	330839	387071	349914	803962	860585	797996	767435	767259	792115	726646	676102	284655	498112	787007	70136.8	71259.5	59466.4	95739.3	72520	83768.3	90590.7	96111.7	44480.8	102943	244699	263961	190861	223778	218006
P69423	299677	560821	555158	259365	238445	228833	490113	348639	224729	230496	227333	354499	487458	525738	421912	310120	2173.08	NA	2545.27	9075.6	NA	NA	NA	3588.61	NA	3866.87	6159.31	NA	6701.28	1015060	1248210	1175540	1025190	1105630	924476	969660	1076010	1179860	1092900	1169340	1989540	1176760	1151870	97036.8	110212	118939	109588	159126	157316	189083	199146	162018	130380	155963	175626	113205	174991	151503	67099.3	44339.4	51085	52650.9	66312.4	60124	58733.3	54734.2	72056	61300.6	43847.6	71275.4	73924.7	59424.6	50988.4
P0AER3	2660600	2085360	2709590	1739890	2647970	NA	2759650	NA	2801350	NA	2069420	2654950	1837680	2636820	2746660	2005490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1313500	1160770	1196140	1350040	1042290	1156930	1551570	1019160	1351050	1380670	1199290	722972	964260	1080230	537189	663408	720904	551761	852980	437804	297087	312610	440751	310029	321436	508489	467023	453121	416194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AB96	3619380	1898480	NA	2400360	3615680	NA	NA	4404760	1743400	NA	1942000	NA	2290700	2084330	NA	2986180	16454	20945.5	19150.3	18242.7	14966.3	14944.3	17049.5	12444.9	14351.8	20315.9	17149.3	19134.2	13011.8	2798270	2360030	2118570	2710940	2080740	2627150	2247880	1187800	2846820	2241020	2268290	2187170	1399250	1530290	602733	579807	564955	678242	654538	672337	610362	762296	630059	697832	680302	655180	584217	597755	592217	2379770	2437030	1488590	1728580	1393170	NA	1732160	1624100	1336630	1337860	1679320	NA	1283870	1554020	NA
P0AE28	32716300	28194300	22486800	45428800	34280500	36707900	24417600	22504200	21829100	23059900	21198600	23028200	19260200	19236700	26665500	18594600	67686.7	89629.5	92182.1	98420.3	85169.3	87564.5	110806	91691.5	75926.7	59180	58498.2	63322.2	54460.4	3763710	3350900	3422020	4482380	3031480	3477170	5475580	2581990	3958770	3588170	3596800	2437320	1931990	2070160	1804760	1942140	2076800	2213930	1256160	1246070	1280050	1322060	1351490	1096890	1269710	1240430	2038440	1254730	1254090	2025840	1901850	1966880	2128440	2154890	2127140	2286390	2130950	1813640	2164910	1463490	1297650	1200840	1246300	1456430
P75937	524893	NA	NA	676983	1051010	1073330	NA	NA	NA	159566	NA	NA	NA	NA	111120	NA	6533.5	10092.3	10360.5	11023.5	9920.39	11672.7	10374.9	3712.9	4900.69	NA	916.451	NA	NA	628081	862603	783972	2342650	705329	1801340	1188000	516560	1576530	742147	957540	NA	NA	NA	211968	553168	572900	442916	128347	85472.4	126907	111444	171668	24895.7	NA	177626	355510	165508	147876	64931.1	81269.6	52210.1	179039	148378	231140	192324	193263	61545.6	186978	NA	NA	NA	NA	NA
P75946	2705080	1948320	2009940	2438860	2511170	2804080	2082420	2835900	1969940	2243320	NA	1711560	2406000	1004390	3338290	NA	37017.3	54916.5	43710.7	45237.5	36973.4	43987.2	46837.9	45855.1	43263.3	42619.2	49038.8	42722.8	45259.1	1041320	1002030	865550	1101040	1210560	1012870	977746	1088360	1264030	1214930	1241740	1232900	1240760	1000310	827697	921688	930934	814048	916495	814493	962084	808506	902220	852063	842767	834482	1020470	711067	844209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P76340	4681030	2361030	3198040	4394340	3776110	2387590	2649660	3347540	3045840	NA	4194320	2460530	4082330	3680720	2205840	3542410	11847.2	11997.1	7655.44	13021.8	11120.6	12937.8	8414.2	6201.93	10553.9	7371.85	8547.11	5548.16	8805.29	677660	763845	792415	764550	718831	655507	676043	702046	803571	848033	917234	1011980	825412	788945	536441	589575	602268	547744	655108	611213	612304	579893	665668	604779	593775	594870	587712	577657	524671	191941	141484	133843	140057	182046	140383	149582	144670	167741	148645	177654	164259	126643	189790	185649
P0A924	2516450	2508300	2923330	2299840	1652920	2889600	2616870	1645510	2216840	2016760	1563420	1871980	2019840	2269020	2505070	1751650	1926.73	6184.93	7512.92	6175.93	6294.87	3825.65	6149.02	4013.97	5462.38	4943.7	3341.3	3221.43	4900.1	262223	245899	223389	274129	300807	226331	383314	278866	253452	291930	231638	228360	170834	162361	1031640	1126600	1099180	1030060	757558	825023	818523	793759	723670	844348	650605	745379	913108	769546	907338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AA99	5289440	2669710	3053880	1997550	NA	NA	2241210	3097480	1968270	1579030	2938580	1685590	2521660	2519620	2004690	2233060	8845.68	6006.15	5684.56	6919.64	5533.16	8908.44	8818.86	5167.27	8315.3	7272.84	13183.5	6612	8939.15	1040900	1008250	605064	1244610	626938	860431	1078010	700429	964100	674196	797367	1850160	1803160	1642090	398446	361284	472737	432615	896736	936740	764085	856422	783685	869317	791130	797482	219850	527978	593872	78260.6	60638.4	88464.2	151501	63354.8	120001	140979	133242	NA	117048	152660	264272	182098	167672	184174
P76483	3356910	2134530	NA	NA	NA	2584890	2003210	NA	NA	NA	NA	NA	959908	NA	NA	NA	5008.53	8790.91	11864.9	6800.69	8789.72	6509.61	8993.25	11801.1	11607.9	5749.9	5637.68	6255.94	4651.52	2613040	1966130	1985510	1576720	2868840	1788530	1282700	1743490	1516590	1648030	1542960	859765	503175	705499	836493	602510	586511	460447	370490	344546	352198	441297	386141	384683	406713	381006	522805	386087	372258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P23843;Q46863	20426200	13828800	12594200	9667000	17836900	7062860	9389880	13131400	8134470	9054080	10740300	8711000	13782000	13047800	5859320	14363700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2490040	1507500	2374250	2146580	1833330	1878470	1567070	1209890	1081580	1546800	1560700	2090940	1442790	2220550	1528180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0DPO3	1150200	932883	646004	1087670	1075640	994646	859402	1047420	411652	1033720	659668	774014	906663	401006	700274	919267	5978.06	13330.7	14303.5	8707.06	10238.3	10797.9	9956.83	7976.06	7131.68	11640.7	9749.63	6959.23	6113.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1066110	983105	1348890	2183190	825768	906879	534398	673407	667998	572795	597957	600859	885353	636893	455812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AA37	1375010	1469810	1547620	1586220	1305400	1253750	1586040	1527000	1413410	1927540	1610490	1468150	1518440	1347990	1407380	1340540	40343.9	48416.6	44907.7	44971.8	38388	35424.3	39238.9	38010	46099.7	30823.1	51891.1	24924.6	39783.3	1291920	1597330	1670710	1430290	1628440	1485520	1326250	1620940	1476520	1473110	1529090	1844530	1532630	1467360	941902	894265	932060	875276	995857	994087	976874	975785	927504	1013290	948677	970008	882838	945990	950941	371475	445377	404565	389708	382301	362031	412256	378116	558281	393168	432096	430694	342713	369509	474298
P0ADC8	561828	NA	NA	472430	772560	888228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35654.5	59178.9	45899	43459.5	44221.3	36901.1	44968	57509.7	50428.3	NA	3148.96	NA	NA	866076	662742	652213	454662	1232110	726355	376110	1187600	784327	790102	779459	NA	NA	NA	324876	290416	256467	238211	NA	NA	NA	NA	NA	NA	NA	NA	279418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O32583	3688400	2917800	1591800	6610110	5520580	4830280	2923970	2744500	2778190	2765000	3537050	2619300	2556800	2155700	2750160	2455690	15463.3	14560	16291	14071	12818.3	17142.7	17683.4	10670.2	9091.78	12444.7	7319.02	8419.52	10108	4969960	3830910	4883450	7005190	2499130	4950480	6134850	2241120	5621000	4206040	4830700	2782220	1785800	2150390	435082	920351	726292	801994	492666	443008	603187	504124	495853	454312	545997	386387	773106	395786	475148	182673	301347	149990	109446	191416	180825	221216	187523	128369	133536	NA	NA	127241	NA	NA
P04816;P0AD96	134234000	63283400	33148200	300065000	245773000	270937000	176661000	231852000	193244000	255242000	226272000	232657000	173704000	160597000	225165000	229166000	371431	24877	18361.7	90149.8	324024	504353	28790.4	68746.8	103966	52793.5	348817	1268.68	202842	216861000	181762000	236051000	202629000	156610000	209277000	231374000	165180000	239722000	220119000	226908000	234844000	172715000	193729000	45315000	64849700	56506800	58273000	53379500	57887000	47841200	60323700	53836300	52799000	53766800	45989100	58400500	46960400	50900900	14982600	14932100	15674100	15691100	13432200	15229400	15902000	14914500	14786800	12495700	17424100	14797500	13704400	14927700	14243200
P32685	3799530	4748860	2953260	4514550	4936160	5484300	4796910	4544390	3887010	5503230	4119620	4886110	3751690	3561550	4277100	5359340	44661.4	39625.5	44722.1	49713.6	47796.4	48450.7	43535.2	43274.8	67855.9	49975.8	88802.3	46338.3	72879.9	4345820	3301710	2816520	3434400	3591150	3445710	3467800	2208030	3447000	3426120	3025120	3374550	2221530	2574840	680275	702285	740119	754928	773118	786751	748758	885298	853136	808488	896219	851713	761008	901001	862111	48123.3	34729.7	63360.7	50887.5	47275.8	49622.2	33439.4	40249.6	40254.8	44858.6	43864.6	69045.4	64145.7	37777.5	NA
P38035	NA	586397	349422	NA	693564	546608	706923	926455	708254	633831	779594	749127	NA	520868	464160	730967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	296789	313494	NA	299400	294906	270538	305061	276489	NA	300293	304777	1577630	2451870	1958120	2139230	1955880	1674220	2058580	1827080	1115130	1859700	1993410	2102310	2049460	2276900	2731100
P39386	560999	222862	NA	353911	537196	297098	233146	NA	NA	NA	296144	281216	253254	253174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	467066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AE60	28132900	25006900	22132600	24493500	25042800	30259300	25644400	30697900	24895600	33786400	29338100	26519300	32814700	24106500	27741700	32648300	18790.8	11332.3	11666.4	17438.8	12875	17821.9	10217.2	10465.5	15419	9871.32	15873.4	9965.33	18487	6609390	5042880	4244920	7855820	3395610	3675880	5460220	2327750	5823310	4095340	4078770	3905750	3425870	3149190	2027980	1690090	2087460	2222310	2299430	2407520	1836880	2253000	2130840	2134130	2309810	2093910	1939610	2187490	2043190	823532	821270	900548	842512	749486	854815	797133	749969	820546	1030790	821158	931236	899934	806452	846859
