"MSP"	"ERS848745"	"ERS848744"	"ERS848743"	"ERS848742"	"ERS848741"	"ERS848740"	"ERS848738"	"ERS848736"	"ERS848734"	"ERS848731"	"ERS848730"	"ERS848729"	"ERS848728"	"ERS848727"	"ERS848724"	"ERS848723"	"ERS848722"	"ERS848721"	"ERS848717"	"ERS848715"	"ERS848714"	"ERS848713"	"ERS848710"	"ERS848709"	"ERS848708"	"ERS848707"	"ERS848706"	"ERS848705"	"ERS848704"	"ERS848701"	"ERS848700"	"ERS848699"	"ERS848698"	"ERS848695"	"ERS848692"	"ERS848690"	"ERS848689"	"ERS848688"	"ERS848686"	"ERS848684"	"ERS848682"	"ERS848681"	"ERS848680"	"ERS848679"	"ERS848678"	"ERS848677"	"ERS848675"	"ERS848673"	"ERS848672"	"ERS848668"	"ERS848666"	"ERS848665"	"ERS848664"	"ERS848663"	"ERS848662"	"ERS848661"	"ERS848660"	"ERS848659"	"ERS848658"	"ERS848656"	"ERS848655"	"ERS848654"	"ERS848653"	"ERS848652"	"ERS848651"	"ERS848650"	"ERS848649"	"ERS848648"	"ERS848645"	"ERS848640"	"ERS848635"	"ERS848633"	"ERS848631"	"ERS848630"	"ERS848629"	"ERS848622"	"ERS848621"	"ERS848620"	"ERS848619"	"ERS848618"
"msp_0639"	0	19	0	0	889	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	8	0	651	0	0	0	1546	0	0	18	124	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0643"	0	454	0	0	444	0	0	0	0	0	0	1521	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1037	0	0	0	268	0	581	0	0	0	0	0	0	0	0	46	0	0	167	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0
"msp_0644"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	0	0	0	0	0
"msp_0645"	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2047	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220
"msp_0648"	0	0	0	0	0	11	1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6077	7	2891	0	0	0	984	0	0	10202	0	5	0	0	0	0	2048	6	0	2192	0	9	0	0	0	11421	15	1441	0	0	0	0	0	0	199	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	14	0	847	0	0	0
"msp_0650"	0	0	208	0	8	1953	0	11	325	203	0	474	1105	0	0	253	0	0	0	1212	11	0	0	1021	0	15	2310	1206	0	1495	473	0	492	15	779	299	1963	0	1965	858	1018	0	179	0	102	0	2311	0	339	1714	0	6	393	52	5	0	0	0	0	44	33	7	2582	0	884	2063	6519	7	0	0	55	0	0	0	248	10	0	0	0	0
"msp_0652"	0	0	0	0	0	0	71	0	0	0	0	0	22	0	0	0	0	0	0	0	354	0	0	0	0	0	338	0	0	489	0	0	0	0	0	0	0	0	221	0	0	615	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3643	0	0	79	0	0	0	0	8	6110	0	0	8	0	93	29	765	0	3	0	1731
"msp_0654"	0	946	742	0	21	336	361	1114	77	126	11	850	4324	5768	14798	5312	0	16782	15696	8	12	0	13	2274	152	0	214	5104	2354	6847	4787	7244	2115	764	4187	9985	2214	1564	63	63	258	16830	607	26	944	24	0	3536	24560	1096	0	5745	22	231	1162	17442	20223	40246	3014	1353	173	764	1856	0	328	0	10	83	1810	0	212	335	0	56	750	1966	38	0	4994	182
"msp_0655"	0	2061	21	0	1698	569	1103	218	259	1861	467	457	0	214	0	0	66	60	0	560	307	0	0	63	86	146	210	79	152	118	88	0	41	169	203	0	450	266	169	0	107	136	0	201	417	578	744	36	671	414	0	542	44	3	200	750	1801	0	35	0	48	0	334	0	130	0	0	915	547	414	154	0	192	167	79	67	1711	1115	0	1735
"msp_0665"	0	158	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	786	0	0	136	0	119	0	357	351	0	0	40	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	129	128	65	0	0	0	0	0	0	192	0	0	0	0	0	239	16	0	0	0	0
"msp_0668"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0671"	0	0	0	0	0	2364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	12	0	0	60	0	0	0	0	59	0	22	0	6	0	0	0	0	0	0	0	22	0	0	0	0	27	0	56	0	46	11	0	0	0	104	0	5	14	0	0	0	29	0	21	0	17	0	0	0	0	0	0	0	0	0	0
"msp_0674"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1025	0	6575	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0675"	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	870	0	0	0	0	0	1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	82	0	0	0	0	0	0	9573	0	0	0	14	27	40	0	0	1455	0	0	0	0	0	0	0	0	0
"msp_0676"	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	1558	172	803	1411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	555
"msp_0677c"	0	0	0	0	0	9	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	20	0	13	0	0	10	0	0	0	0	0	0	622	14	0	0
"msp_0679"	0	15	0	0	4	0	0	0	87	0	0	0	731	0	0	213	0	0	0	0	56	0	0	0	0	0	0	0	0	650	178	416	0	0	0	0	0	47	417	0	0	28	0	31	0	0	0	50	0	0	0	0	0	0	0	0	0	0	15	55	184	0	0	0	0	0	0	0	0	0	0	0	0	0	31	43	0	0	0	62
"msp_0685"	0	0	0	0	0	0	0	0	11236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	7351	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	13	101	0	27	112	0	44	0	19410	0	30	0	35684
"msp_0692"	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	0	0	14	0	0	0	0	0	0	68	0	0	0	368	35	0	0	275	0	0	0	207	0	0	401	1940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	1607	0	33	0	0	0	0	0	6	0	0	4	0	155	2368	512	0	0	0	2554
"msp_0693"	0	670	0	0	254	2965	281	105	0	0	34	700	179	79	18	223	0	0	151	0	10	0	764	175	62	102	272	49	0	0	195	0	100	527	287	105	0	80	137	0	0	53	618	305	0	0	0	235	33	0	0	23	36	61	1276	0	0	0	30	181	73	0	218	0	217	319	2981	3241	0	0	344	0	0	0	117	34	0	0	0	19
"msp_0697"	0	0	0	0	0	0	0	0	0	0	0	48	93	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	331	0	0	86	50	0	0	0	0	62	0	20	0	32	2964	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	9	0	0	0	0	0	0	0
"msp_0698"	0	0	0	0	0	22	29	4	0	11904	79	0	12	0	58	0	0	0	274	12	8	0	0	34	0	0	0	0	0	1720	24	0	0	0	0	0	5	16	208	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	90	32	0	0	0	0	121	0	0	0	0	0	0	33	1843	0	0	0	0	0	0	0	0	0	0	39
"msp_0700"	0	0	0	0	0	54	0	0	0	585	10486	0	6	6	0	0	0	0	0	0	0	0	968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0705"	0	49	45	10	4253	69	0	22	7	0	0	297	236	14	52	403	0	0	41	0	8	0	1097	163	145	430	358	97	144	44	30	0	121	148	268	113	262	120	128	316	360	37	400	165	0	0	0	121	14	936	865	84	87	31	212	0	0	0	108	19	109	0	109	564	559	100	0	4046	0	180	122	0	83	0	20	9	0	8	162	25
