rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
P0AG20,21.61893085633931,21.560245369284374,21.58380533216768,21.337248549963377,21.235272008533222,21.216381396828975,21.10011508000578,21.158072260001507,21.173383800002455,21.148884378315987,21.2476894309406,21.23948469093192,21.173228885729976,21.275196232058068,21.521227949050104
P0AG24,20.78874435615705,20.715203416789375,20.719603491650908,20.80428070371467,20.889154373014005,20.825439721830563,20.776724062889663,20.92334887338348,20.856868453258038,20.879621066645726,20.89324347021573,20.82194443239269,20.845859949580834,20.886660978209704,20.81383097004772
P0AG27,23.22773743122133,23.234770354597227,23.26746785829819,23.245875559419797,23.21844543058052,23.228177186538762,23.118272598298056,23.19222153587485,23.199561222296754,23.164512332215466,23.23828042215373,23.234100800964516,23.163281900256493,23.164931250835288,23.166943067229454
P0AG30,24.35660958392728,24.363524971416602,24.39070425908664,24.394262603590082,24.48462221300044,24.51656975303314,24.496609749218727,24.546374257118345,24.50532214189724,24.467438047112598,24.54586770055994,24.49983827544667,24.506208126731273,24.508232364038463,24.459056721393686
P0AG40,20.71637638795089,20.56884637214164,20.730962551294564,20.68717408516,20.63709389075974,20.576742494721156,20.65316066108147,20.689912367624174,20.642917707926635,20.673466648858145,20.641357860445762,20.54404615157432,20.624701410923,20.699486315918353,20.639202314761675
P0AG44,25.946267684687264,26.284547693772744,25.90509385012537,25.958887171095864,26.362275513288807,26.515819249772644,26.428193478451703,26.20528726236263,26.389503977997162,26.44985742909867,26.276748750328103,26.4223192555862,26.40760993828806,26.26317055551723,25.973386601201415
P0AG48,25.378217881928908,25.397302862330314,25.38946188949228,25.35609708754993,25.839862855151054,25.81859463892157,25.75995518184091,25.84978349500196,25.87456972324895,25.794634150898883,25.807844544217446,25.783725769145832,25.81401216243578,25.80014903203222,25.411305754970687
P0AG51,25.790751477714757,26.045200565711554,25.859103019363303,25.87578040135167,26.230619191718425,26.3129134457331,26.377756747596226,26.320541865793146,26.40023883304543,26.269915179553795,26.355907856113724,26.331872474902013,26.38268930602472,26.251590468944986,25.960307259404424
P0AG55,26.44810481975196,26.65784736739836,26.439411182263548,26.45061547943163,26.812641480415362,26.904653773708766,26.895054661847983,26.77323778139596,26.959165445928896,26.85684801035584,26.755429665096266,26.907075619616933,26.904291030764675,26.822657789270835,26.56856316766743
P0AG59,23.492240277931476,23.832517807251048,23.60988042829983,23.486841286062017,24.050088001256757,24.126193250501256,24.145630485570965,24.127007049382062,24.12580021771811,24.076169411286536,24.219550749330555,24.202753341780028,24.15273435844785,24.047524036861688,23.587447552935828
P0AG63,24.922761949514037,25.105115270968362,25.095464222790792,24.857626545611456,25.480455456705712,25.41547056803219,25.610201048991247,25.399402553590196,25.51508025027321,25.37290552466276,25.42664264604324,25.52043460717123,25.436017137418027,25.40341538800549,24.87382408729789
P0AG67,25.825027141121666,26.066330672891336,25.957369181354757,25.910792762647386,26.36651489073476,26.38930048453201,26.303523160513528,26.333777751333777,26.406390480992336,26.25469919704353,26.405604424134296,26.350515384597703,26.372105250754547,26.335618284991583,25.961032360874015
P0AG71,19.578476488653546,19.45660051203226,19.553749028164123,19.605885782402485,18.3632335562541,18.364400840377723,18.269652570768873,18.443459107726408,18.343559698125976,18.403739422157606,18.406352946382043,18.33974813397362,18.408349980783715,18.372600837401322,19.368229125772018
P0AG76,17.889822012898755,17.687074212021876,17.75892672808284,17.732982102414702,17.9267264631332,17.606625388190153,17.80405034812562,17.867887141717326,17.70032787796194,17.879750067349043,17.92603713223796,17.677592901322107,17.883111107383115,17.690563991086094,17.9954136712091
P0AG78,21.072147201992884,21.565391198336606,21.134287512945008,21.489574846644253,21.64453888816135,21.570361924217067,21.650251854603447,21.449692955254193,21.864627514591668,21.51742190982177,21.604646673790675,21.72132067719413,21.914264876637823,21.912966279975393,21.187905990412908
