"MSP"	"ERS436842"	"ERS436841"	"ERS436840"	"ERS436839"	"ERS436838"	"ERS436837"	"ERS436835"	"ERS436834"	"ERS436833"	"ERS436832"	"ERS436831"	"ERS436829"	"ERS436828"	"ERS436827"	"ERS436826"	"ERS436825"	"ERS436824"	"ERS436823"	"ERS436822"	"ERS436820"	"ERS436819"	"ERS436818"	"ERS436817"	"ERS436815"	"ERS436814"	"ERS436813"	"ERS436812"	"ERS436811"	"ERS436810"	"ERS436809"	"ERS436808"	"ERS436807"	"ERS436806"	"ERS436805"	"ERS436803"	"ERS436802"	"ERS436801"	"ERS436800"
"msp_0259"	1628	4975	1317	2456	2881	2907	1681	2558	4283	2780	1427	2369	1092	7399	3473	2325	6174	109	5136	4204	1612	4994	717	821	3788	12610	6516	5301	1855	0	0	1515	1747	5909	3815	3108	3208	11
"msp_0260"	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1086	0	0	3593	0	0	0	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0
"msp_0262"	4	12	6194	4	0	8578	0	0	0	0	555	2	9867	0	0	0	0	172	0	1241	0	1224	0	0	0	0	0	750	0	396	9368	0	0	0	0	0	0	0
"msp_0263"	841	49110	0	0	0	11856	3085	0	5179	74	29159	6	3632	15815	0	35	3954	134	5	8	3420	1664	5	13303	7	18116	4105	28458	5045	10	7	59	4	0	7789	5537	2804	41
"msp_0265"	0	12	8272	4	0	6412	0	0	0	0	0	0	2447	0	0	0	1948	0	0	0	0	0	0	11	80	16	0	44	0	17	0	0	0	0	0	5220	0	0
"msp_0269"	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	19154	0	0	0
"msp_0270"	0	0	0	0	0	1450	862	5679	40	0	0	891	0	920	1878	2	6	0	0	0	14	6	1500	3	0	0	49	912	0	18	0	1194	556	36	20	0	0	3
"msp_0271"	23	0	0	0	6235	10	32870	17	0	18	29944	11	11	7	109	195	25508	153	13	25	10	25587	12	128	8	7	10	32105	326	10	34758	123	7	7412	19749	9	6	59802
"msp_0274"	4	6	93	6	3	16	0	20	0	765	0	16	2	9	45	114	71	721	7	0	9	5	93	0	0	4	0	0	167	653	0	0	0	0	0	0	0	1243
"msp_0277"	0	0	0	0	3950	2634	0	0	0	0	0	0	0	0	0	8	463	30	0	0	4	0	0	0	6303	9	0	0	81	0	0	0	0	11	1181	21	9806	9
"msp_0278"	0	9	7	0	0	0	0	0	0	0	0	0	0	31	0	0	17	0	0	10	0	0	0	0	7	0	0	0	0	0	23	0	0	0	0	0	29	0
"msp_0279"	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	9	0	62	62	0	0	0	0	0	13	0	0	0	591	0	0	75	0	0	0	0
"msp_0280"	10	14189	0	0	0	0	0	0	0	0	184	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	738	20055	0	0	0	0	0	0	0	0	7008
"msp_0281"	0	0	0	0	0	0	0	0	0	0	9043	0	0	0	0	0	0	0	0	8655	5047	5084	0	0	0	0	6386	6492	15443	0	0	0	0	0	6	0	0	11
"msp_0282"	0	0	0	0	0	0	0	0	0	2527	0	0	6	0	0	0	0	817	0	0	0	0	0	0	0	0	0	0	2124	18	0	0	0	0	0	0	0	0
"msp_0285"	0	15987	0	0	0	0	0	0	0	3	0	10051	24	8942	0	3	1289	0	0	3	0	145	4686	7	0	27	15391	0	6841	0	0	7	0	0	296	8219	0	29
"msp_0287"	0	0	2410	4	0	353	565	0	264	1269	0	932	3	0	362	297	190	1592	300	24	52	103	2165	0	5	1052	270	669	0	0	297	974	1063	35	56	0	4	6
"msp_0288"	0	0	0	0	0	0	173	25	0	0	8	0	0	0	0	0	204	68	0	2931	0	0	0	0	0	8358	0	0	0	0	0	102	0	0	9014	6265	41	0
"msp_0290"	0	0	0	0	0	0	1315	0	0	14	2	1785	7	78957	0	13	25	24	0	0	0	2007	0	12	0	4	0	690	4	0	0	42	0	0	7	0	6152	5
"msp_0291"	75	80	0	125	1021	339	163	6631	183	1193	2858	0	161	602	3733	10	6	945	0	698	11	2394	60	248	721	594	2845	1206	496	14106	32	594	193	366	21	9	4481	611
"msp_0296"	0	0	70	0	327	1327	726	4977	1203	367	360	14153	137	3	280	5	371	563	498	5699	1136	24	113	1800	11	71	2873	1192	73	1554	0	3	2459	5	165	48	1763	41
"msp_0297"	0	0	5	0	0	4	6	255	0	10	0	1718	11	0	62	0	22	0	643	137	181	5	28	0	0	0	308	0	0	923	0	31	270	14	0	0	16	7
"msp_0298"	0	0	0	0	0	131	999	0	0	0	2765	0	0	0	0	0	7	6	0	0	0	143	0	0	143	0	2133	0	0	0	0	675	0	0	0	0	1853	0
"msp_0299"	1643	2366	78	6621	1303	506	245	1688	852	1229	153	8	1801	0	580	0	2228	42	6638	0	1984	2949	539	80	2172	3883	3252	424	1577	0	2	988	1637	2444	337	2292	479	0
"msp_0301"	3122	11776	22854	13219	27567	8784	5058	0	1468	22105	1012	3	2600	369	7935	15	151	94	333	5554	4695	5302	5	6378	17013	6972	1523	1730	3337	11725	0	16418	5098	8281	602	2109	1040	19
"msp_0302"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	15	0	0	0	0
"msp_0303"	0	0	0	0	0	29	11	7	32	19	0	186	4	0	83	0	127	0	0	20	769	8	645	0	0	0	584	0	14	125	35	184	17	0	114	0	53	0
"msp_0305"	0	278	284	0	0	0	0	0	0	0	0	0	0	0	0	0	1667	0	0	0	0	0	0	6	0	6	0	0	3	0	0	111	0	0	1174	2409	0	0
"msp_0306"	0	0	0	0	0	12	0	0	7344	340	2145	0	0	2805	2511	0	5	22	0	2236	0	2083	0	0	29	5	1115	10129	0	5	242	785	5327	14	8658	3	6227	0
"msp_0307"	18	5186	1610	6218	1455	1706	3716	6	1078	2812	1396	11703	111	5	326	5325	624	12124	9243	4	1440	13360	4	741	800	4825	1660	5113	5528	5	3162	5173	1059	3006	213	4529	3398	44
"msp_0308"	66	0	115	0	18	0	0	0	0	0	0	168	92	0	0	1841	162	4007	276	0	34	22	0	0	0	0	0	0	116	0	0	0	8	0	0	0	126	0
"msp_0312"	0	0	0	0	0	5	1494	0	4355	4	1618	0	5	0	0	3	956	18	0	560	0	4576	4675	393	20	6	160	6262	4	511	958	1892	3567	30	2686	0	6406	0
"msp_0314"	0	7	1771	0	0	86	24	2109	38	859	78	5723	84	226	385	0	113	275	294	9	1868	9	5663	140	0	0	647	21	32	134	23	971	560	82	74	0	15	21
"msp_0315"	0	0	335	0	0	341	102	6316	52	398	0	40	0	994	156	0	724	5368	712	26	6	51	0	0	0	0	316	30	122	302	0	108	48	102	288	59	33	865
"msp_0317"	10	0	1417	0	0	50	0	10160	12	0	0	34	0	0	84	0	71	1335	0	80	575	15	8323	0	0	0	1901	71	0	41	4	0	69	12	14	0	0	0
"msp_0318"	0	0	0	26	0	48	203	1191	90	76	0	620	75	140	0	0	10	1594	999	247	0	126	0	0	0	248	952	455	0	0	0	1198	1242	9	30	5	0	0
