rowname,BBM_673_P283_01_VEB_001_R4,BBM_673_P283_01_VEB_002_R3,BBM_673_P283_01_VEB_003_R3,BBM_673_P283_01_VEB_004_R3,BBM_673_P283_01_VEB_005_R3,BBM_673_P283_01_VEB_006_R2,BBM_673_P283_01_VEB_007_R2,BBM_673_P283_01_VEB_009_R2,BBM_673_P283_01_VEB_010_R2,BBM_673_P283_01_VEB_011_R2,BBM_673_P283_01_VEB_012_R2,BBM_673_P283_01_VEB_013_R2,BBM_673_P283_01_VEB_014_R2,BBM_673_P283_01_VEB_015_R2,BBM_673_P283_01_VEB_016_R2,BBM_673_P283_01_VEB_017_R2,BBM_673_P283_01_VEB_018_R2,BBM_673_P283_01_VEB_019_R2,BBM_673_P283_01_VEB_020_R2,BBM_673_P283_01_VEB_021_R2,BBM_673_P283_01_VEB_022_R3,BBM_673_P283_01_VEB_023_R3,BBM_673_P283_01_VEB_024_R3
P00968,24.254551105424778,24.483179339598212,24.58397617770263,24.38453381061786,24.638564854842794,24.353993646828016,24.43174317743604,24.747077122655977,24.409370431095212,24.519743556903517,24.56230601229727,24.751839588125122,25.099119403293944,25.08134392980968,25.249349427429024,25.21710501487751,25.24807435607359,25.037107262288924,25.002927094313495,24.736386531321532,24.928190644694745,25.14897872752613,25.098692357235276
P02358,25.965694437005087,25.683661964142733,25.55343456776413,25.680971327939165,25.492613519495652,25.782790418041696,25.52177194360269,25.11313430361065,25.835714517878568,25.65781063671299,25.486674945579857,25.998764585084082,25.603198134362305,25.70526677542306,25.331842951429152,25.5429131252166,25.112559333811806,25.66880749612744,25.68284454147752,25.715509477806176,25.651139507123936,25.578891698093894,25.616520323713644
P02359,25.87233379034632,26.117222637936845,26.140007037613458,25.98401083321464,26.273287761742044,26.07475089959314,25.951635521516565,26.11918242018174,26.10307550382194,26.102132129110707,26.024474282879225,26.638685254985962,26.546711045891932,26.521411923465262,26.37918140119907,26.438802046654192,26.37013850660444,26.386096126151244,26.407292999192894,26.41615728852108,26.53543954837038,26.622136184861002,26.589321665604906
P02413,24.964731782372436,25.2230366182188,25.430006979058522,25.004620447428934,25.558989451201807,25.279870901198173,24.930244470813,25.550218831483043,25.062150389989007,25.27840918329423,25.174437888232227,25.92368268668948,25.75449535451466,26.01163617110819,25.794231030616075,25.73953993476758,25.934751074084666,25.947570618665797,25.861455868969824,26.001792694058697,25.972575048458754,25.93129969236553,25.94550881375934
P02916,16.96023504836188,17.21820402199716,17.78336844753203,17.909538683980433,16.285300147263015,17.292318695937045,18.366056885938708,17.47491945783397,17.4165174563732,18.100209771636692,17.674054690822075,18.353884528688532,18.136559882420432,18.373567272107437,18.282453101150747,18.517511588655633,18.378186112663233,18.506047377375605,18.59315991741267,18.918630284518454,18.03780364047218,18.913336169234952,18.800955773850916
P02918,20.218996324128682,20.416278132242194,20.416696237181235,20.40969936597907,20.42393043445283,20.368535407457873,20.468689320194112,20.696217642228877,20.319846864742683,20.39516919247958,20.52005902859024,20.28104740285214,20.434700249793035,20.518860501078002,20.74693857555055,20.722994261816137,20.718771604233392,20.536587739334333,20.501621476657565,20.469654071266444,20.425061010649458,20.52471682202141,20.58514657875138
P02919,21.229440067512265,21.337607297405707,21.33906601492381,21.217438409871264,21.42263557571016,21.163715629269117,21.164332900078723,21.67838260686875,21.118710069654366,21.31135172148435,21.314021138654184,20.856981510496045,21.116693530225785,21.090179374287377,21.253211253663597,21.160085226581636,21.294560999889192,21.17422548928373,21.127362260741993,20.998815617664523,20.953554473847102,21.07340691285436,21.103672910725223
P02924,21.237719932980095,21.028914221447245,20.894543671028686,20.84332441721276,21.303585759948977,21.03423282035319,20.974106741667878,20.818670172379075,21.031571684934047,20.928944932948845,20.872917837389068,17.671525195266707,17.650884050777464,17.198215324041524,18.05014900037022,17.804242707253128,17.562536103847876,17.74523905263249,17.958757423896042,17.869980868123243,17.474059998331448,17.2398427347214,17.882485524775692
P02925,25.4411088026767,25.364253676020674,25.38516552715468,25.537356717917334,25.309544919096556,25.54586511391296,25.68533888567346,24.868782577915656,25.64908118187807,25.607728655905074,25.543383348699994,22.752372175790313,22.54913026933574,22.964928776001553,23.008264918457765,23.07197347643094,22.567358033468828,22.994886471966343,22.96698892825747,22.806100899088236,22.60587812053974,22.980800328752174,23.11210382439154
P02929,19.893154675201068,20.154188971089525,20.132812509639468,21.05144218366747,20.108285567306194,20.335612742539556,20.551259618289563,19.58066146616644,20.427643245371605,20.459608020941698,20.40682565087395,20.830785495659285,21.053174965902745,20.98379884741202,20.775177685308652,20.764341041742995,20.808404704161152,20.83009068719695,20.770172065327277,20.855763512773077,20.6433460447603,20.306655300326604,20.617950910877006
