"rowname"	"U_L3_D5_01"	"U_L3_D5_02"	"U_L3_D5_03"	"U_L3_D6_01"	"U_L3_D6_02"	"U_L3_D6_03"	"U_L3_F7_01"	"U_L3_F7_02"	"U_L3_F7_03"	"U_L3_M8_01"	"U_L3_M8_02"	"U_L3_M8_03"	"U_L3_D5_04"	"U_L3_D5_05"	"U_L3_D5_06"	"U_L3_D6_04"	"U_L3_D6_05"	"U_L3_D6_06"	"U_L3_F7_04"	"U_L3_F7_05"	"U_L3_F7_06"	"U_L3_M8_04"	"U_L3_M8_05"	"U_L3_M8_06"
"HMDB0000177|Histidine"	20.925	20.964	20.874	20.907	20.94	20.822	20.454	20.561	20.676	20.148	20.175	20.127	21.009	21.002	20.916	20.846	20.886	20.85	20.615	20.546	20.532	20.216	20.272	20.235
"HMDB0000118|Homovanillic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000197|Indoleacetate"	18.394	18.336	18.247	18.214	18.347	18.209	18.355	18.419	18.363	18.257	18.307	18.307	18.314	18.36	18.27	18.199	18.295	18.337	18.358	18.329	18.378	18.397	18.287	18.274
"HMDB0000172|Isoleucine"	23.211	23.179	23.132	24.726	24.745	24.675	24.163	24.236	24.213	23.959	24.068	24.05	23.119	23.233	23.23	24.718	24.779	24.751	24.285	24.185	24.172	24.162	24.067	24.006
"HMDB0000679|L-Homocitrulline"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000190|L-Lactic acid"	21.52	21.048	21.287	22.319	22.069	22.361	22.942	23.468	23.549	23.646	23.694	23.439	21.242	21.445	20.868	22.433	23.018	22.636	23.193	23.598	22.992	23.905	23.957	23.792
"HMDB0000687|L-Leucine"	23.019	23.074	23.132	23.901	24.062	23.954	23.749	23.91	23.795	23.533	23.5	23.433	22.976	23.192	23.07	23.937	24.057	24.056	23.824	23.734	23.65	23.523	23.436	23.323
"HMDB0000156|L-Malic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000696|L-Methionine"	26.073	26.067	26.056	26.148	26.219	26.199	26.134	26.144	26.143	26.052	26.039	26.018	26.09	26.081	26.073	26.211	26.236	26.21	26.13	26.111	26.136	26.07	26.05	26.034
"HMDB0000716|L-Pipecolic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000162|L-Proline"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000187|L-Serine"	22.055	22.203	22.289	21.52	21.707	21.625	21.876	22.111	21.878	21.242	21.387	21.254	22.039	22.153	22.449	21.541	21.475	21.485	21.81	21.703	21.607	21.74	21.141	21.077
