rowname	CVT09_QC2_LabE_024	CVT09_QC3_LabE_025	CVT09_s3_002	CVT09_s10_003	CVT09_s13_004	CVT09_s16_005	CVT09_s28_007	CVT09_s31_008	CVT09_s36_009	CVT09_s50_011	CVT09_s59_013	CVT09_s61_014	CVT09_s73_016	CVT09_s77_017	CVT09_s84_018
P25526	4402850	4521210	3883130	4855160	4495420	4200910	4930200	4561700	3977680	4167820	1523180	2061790	1752510	1721230	1680300
P0A877	8737940	8853780	8442430	9393090	8613860	7922070	9068830	8828580	8193780	8447770	9094730	8302840	9071030	8358360	8505580
P21517	198021	208729	205650	214486	219210	221410	190546	184777	140711	151789	215025	222321	259357	199556	233884
P05194	1055860	1052870	1087940	1001090	1074650	1058150	1076240	1008630	1012680	1057050	1009430	959427	1000070	978178	1001610
P41407	3209890	3164460	3584220	2142950	3225910	3199670	2656700	2588060	3549600	2882550	3512600	2969410	2851920	3317630	3268500
P02413	41634500	41602400	47934900	35746000	46978500	38267800	35382400	35604400	48647800	36642000	68126300	64056300	66872400	66193300	67438500
P0A8X0	2375370	2515290	2148430	2682030	2137330	2363000	2613440	2563270	1886010	2364220	2067220	2480540	2009300	2147200	2341420
P30958	3536090	3557110	3354350	3261860	3542140	3388750	3344620	3279670	3537670	3308030	3343230	3381800	3562290	3404500	3448400
P45527	130489	106871	130798	59883.2	86145.6	158140	97885.7	141599	148140	155337	171492	177665	233406	217776	246270
P0ACM9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P00448	18507700	18862200	13003300	25606500	19003800	18002000	20726500	20387200	14304300	17610600	10055400	9657680	8218150	10810700	9558860
P08200	90119300	88700800	99449400	73300000	102107000	83714200	73834900	74418700	109986000	72349700	62966500	53179200	59462700	63485700	54802500
P37757	635646	615785	591350	679538	675723	694065	639307	674784	656097	587409	601729	663794	678643	654122	589448
P09831	10264300	9880540	10342500	7713520	10557800	8992860	8350520	7883000	11212400	8322660	24585300	23074600	26164200	24411700	24282200
P00490	4762420	4839800	4503750	4107670	4878370	4397190	4837390	4549500	4674530	4701810	7471840	7601690	7775420	7906750	8089300
P28304	3107220	3331440	3382440	3158540	3490720	3095800	3169180	3078720	3317820	3044990	2683780	2845850	2933020	2929610	3143590
P00582	3730960	3736910	3702060	3625270	3963180	3562070	3709080	3671680	3937880	3566670	3468220	3522130	3786560	3452650	3402340
P11446	3183700	3031070	3513040	2236670	3022160	2800720	2509420	2335060	3211740	2532740	3827270	3588500	3885370	3702050	3401530
P08312	7733050	7346690	7901100	7022900	7617060	7837100	7450660	7326510	7431950	7626590	8143460	8478780	8054620	8064180	8033660
P0AFT2	779404	789515	667609	655690	790995	824663	810020	722172	783619	777536	737785	843744	781283	847314	947302
P37440	12681500	12600300	12997300	10622300	12177900	12042600	10665100	10748200	13129800	11037700	2358690	2227130	2297590	2576930	2470070
