rowname	20230516_EPL1_LiSc_SA_S610_RT_25_s2	20230516_EPL1_LiSc_SA_S610_RT_26_s9	20230516_EPL1_LiSc_SA_S610_RT_29_s24	20230516_EPL1_LiSc_SA_S610_RT_33_s44	20230516_EPL1_LiSc_SA_S610_RT_35_s51	20230516_EPL1_LiSc_SA_S610_RT_36_s56	20230516_EPL1_LiSc_SA_S610_RT_38_s68	20230516_EPL1_LiSc_SA_S610_RT_39_s72	20230516_EPL1_LiSc_SA_S610_RT_41_s81	20230516_EPL1_LiSc_SA_S610_RT_42_s89	20230516_EPL1_LiSc_SA_S610_RT_43_s92	20230516_EPL1_LiSc_SA_S610_RT_44_s96	20230516_EPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EPL1_LiSc_SA_S610_RT_48_QC4_LabD
P09155	834509	835856	763545	723641	901117	894333	907471	931042	917137	909389	854292	864745	834092	833046	870170
P33937	4098370	2759520	3104820	3129540	2262900	2120270	2210000	2220890	2456440	2339410	2579140	2660730	3075720	2867010	2477600
P31129	1133670	1211470	1098680	1038270	758367	881145	615773	714036	613454	670212	642955	695367	1182860	752990	763247
P0A6F1	34488000	33509700	32483200	32943200	43453400	45678200	43342700	43782800	39339500	40262200	42997500	41588300	34889000	44086800	44418200
P0AB71	100741000	114676000	119039000	114068000	158183000	153895000	150796000	162776000	160222000	163195000	167606000	166368000	114086000	184503000	179630000
P0AD57	3774770	3939630	3586610	3419760	4145460	3983110	4207640	3986400	4070780	4213780	4028210	3905220	3720050	4272980	4101240
P77374	2535460	1711550	1837790	1513270	2123220	1981720	2209530	2246180	2313430	2234350	2653390	2900050	2186230	3030180	2479270
P0ACU2	777573	793277	899674	795295	839947	875243	776752	734981	785276	834620	764681	848715	715478	824824	706157
P77783	3331500	2165090	2365670	2145580	4583620	4173810	4779360	5230860	5413990	5571580	6694470	7205760	2615660	7191920	5849590
P18775	5973030	3450870	3355540	3020800	5041340	4385640	5190730	5952540	6290710	6458880	7746970	8550060	4079440	8314680	6464290
P0A6I0	6049220	6150560	6415710	6276560	6052840	6135660	5785280	6386410	5966150	6035390	6382890	5964910	6462150	5853350	6169990
P0AG78	3506700	3945800	3814420	4534370	4910710	4714360	4483910	5715370	4892360	5247490	5894090	5973060	3750970	7151530	5529410
P0ADR8	8767610	10157200	10217900	10781700	12216700	12364500	12437800	11961700	12654500	12061100	11959500	11996000	10416900	12335800	12823800
P07003	13665700	16237500	17320900	17909200	14666900	14295200	14393200	14656200	15576300	14836300	14421600	14380400	16833100	13603700	14391100
P0AC38	22922900	18457700	18945300	18041000	5570770	5781120	6290780	6319320	6040980	5827160	7260300	7100570	21300100	8766060	6984850
P33018	7543470	8176640	7211090	6295960	4578130	4795050	4914940	4746710	4793250	4750660	4661120	4735490	7796160	4813300	4855420
P45468	1675440	1785360	1783480	2221040	2577960	2097620	2621000	1982200	2718820	2194530	2353130	2596520	1941010	2485110	2943170
P0AB24	5972310	8202400	7273540	7465370	8612290	8819370	8293280	8763360	9224770	9637090	11423600	8649160	7636530	8673620	8922110
P0A722	11631600	9660470	10162500	9674600	7945620	7881620	8307950	8333110	8156730	7986010	7862780	8083260	9945490	8184260	8150000
P75870	445407	465690	470118	420700	688680	674827	645851	649860	606508	638262	563464	621836	413746	638337	586680
P30850	15414500	15835300	15792400	15334400	20932500	20129500	20525600	19942800	20109400	20440700	20211600	20227300	16280900	20834300	20511900
P17169	12406500	13999500	14043900	14137400	16643200	16626200	16560700	16915600	17136000	16173300	17082700	17582500	14073400	17290700	16631100
P39160	3089040	3620270	3293660	3518640	2174900	2162660	2120110	2045020	2074880	2079740	1990030	1859200	3038550	1896230	2101360
P0A6U8	16785600	14842700	16347700	15333200	12620800	12983600	12729500	13544000	13896900	13325400	13874000	14202200	15982200	14437600	12778200
P0ABL1	593563	162719	293209	304042	186486	192105	159456	152023	205852	127320	297968	301754	369552	314928	181725
P37329	7362810	7086960	7193590	7939470	3890840	3826450	3425640	3956010	3524350	4010670	3811290	3666810	6883400	3823770	3583340
P76220	2889780	2133530	3084680	2496930	3523610	3417560	3435230	3766640	3639720	3491970	3852680	4254060	2712830	4288060	4227380
P21156	12827900	14688400	14200700	13674200	22141700	21566300	21875700	21287200	21274700	20656000	20897800	21580300	13956700	20647900	20132300
P37349	12127200	10113400	10273600	10254000	24999600	25761400	25199800	25748900	25324800	25154100	28143200	26981400	10450400	28897100	26820100
P0AG18	17365300	18320100	18285100	14725100	20276800	23100500	19632700	22770000	20708700	21645000	22690500	20799000	17215400	20857200	22117500
P32125	714174	693643	709423	654778	684474	694404	690000	762355	673104	679591	686729	687375	732468	648425	681165
P62601	1120770	1457970	1649020	1779890	1304900	1354050	1346250	1286740	1421390	1408280	1159790	1090720	1354070	1147830	1241550
P0C960	2844800	2614470	2636360	2612920	2502630	2579120	2597720	2410460	2493010	2429200	2411310	2348190	2577630	2474140	2672800
P30011	4142180	3925420	3578680	3531320	3763680	3820040	3761400	3748400	3748560	3853250	3689450	3606040	3818300	3724870	3604700
P32695	4216750	4143510	3863210	3944940	3751200	3775210	3857870	3725970	3768240	3787740	3618680	3672310	3992220	3682520	3783610
P03813	2449060	2490070	2347740	2420170	1967130	2045800	1981590	1912600	2047960	1986410	2078560	2060780	2484640	1878340	2039500
P77260	397809	356126	350962	331078	389709	338315	399343	342237	365592	371186	361751	385154	366984	367544	377432
P0AG90	18604300	17669300	17642300	17700200	16740400	16372300	15532100	15870900	16310900	15942600	15817500	16369000	17412900	16931500	16381400
P0AFF6	27101900	28408900	28047400	27980800	32613200	33818600	30893800	33246300	31784200	31992200	32138600	31635500	28431100	33296200	33842900
P31057	25772700	26731800	26877500	25952200	26673200	27550400	27602700	26379700	26603800	28260800	26642400	27450100	26991300	28073000	26801400
P09373	178216000	161612000	232790000	197807000	244117000	255812000	254581000	254033000	264454000	250227000	301751000	286061000	214588000	321736000	287252000
P37595	3184850	2728520	2773820	2464290	2509730	2376690	2540850	2289370	2402650	2575740	2546460	2472530	2881950	2409940	2331560
P40120	3036400	3167440	3125760	2946960	2548400	2532690	2621900	2559980	2484740	2521780	2434250	2427740	3001660	2409030	2476960
P0A6M8	203069000	219672000	216769000	209836000	232528000	237580000	217678000	221348000	231851000	227408000	220828000	222638000	214437000	231641000	239335000
P04036	21061900	15766800	18021400	17323200	40706100	44586900	40696200	43795500	44442400	43430100	44636300	47060700	18508400	46459500	42925200
P0A812	13445700	14465200	13711900	12628400	12182100	11502400	12756400	11704700	11686000	12040800	11630900	11714200	13670000	12056600	12164000
P76397	1278250	1269930	1347850	1449350	1562530	1549920	1488010	1513900	1578630	1502580	1531470	1469840	1432680	1463710	1599190
P0AG44	214032000	211962000	224721000	183707000	283984000	306487000	253336000	291684000	264367000	304262000	287515000	267793000	215091000	285289000	287620000
P0A6U3	5728370	5503160	5592080	5586400	6778340	6823440	6931510	6416030	6549370	6548990	6638020	6547000	5647400	6848870	6669170
P60422	147244000	150764000	148373000	146491000	203141000	208853000	204051000	202852000	198542000	211540000	203447000	200946000	149502000	205677000	205587000
P0AE06	23027100	22571600	21053700	22577100	19829000	19993600	19812200	19372000	19402200	19061600	19342800	19196000	21354900	19988900	20341400
P17445	3038780	3444740	3085640	3267280	2984310	3040200	2957640	2877060	2859960	2886330	2719100	2690740	3215620	2837260	2811780
P15042	4650330	4348430	4267130	4233970	4555530	4498280	4468050	4399180	4480500	4358650	4413410	4514510	4287010	4669230	4621270
P0C0V0	13143900	16769400	17524400	17452700	17155100	17838800	16074500	18147300	17557500	17890700	18819300	17837500	18116000	17791500	18757400
P00861	3380650	3336560	3390450	3099830	5123500	5158870	5169000	5190880	5137590	5000020	5226450	5627150	3491090	5099230	4763170
P42620	2997270	3305880	3677090	3486550	2819690	2832390	2628980	2841390	2927200	2828870	2720260	2680660	3179940	2529180	2653720
P0A7C6	5562620	4643670	4723720	4275880	4674600	4491070	5542410	5454400	5581570	5406740	7276610	6735610	4697320	6745800	6572740
P0A850	109090000	116119000	117064000	115023000	137452000	146860000	132108000	146387000	139619000	137245000	141972000	137062000	119942000	144149000	146226000
P30871	6080220	6116900	6187030	5903870	6916620	6649450	6667750	6329960	6915450	6825400	6558180	6529520	6184350	6123400	6089560
P0AC33	16247400	15163100	13934100	13591300	5414930	5231240	5202050	4909300	4431090	4972230	4263210	4374390	15893700	4962530	5030460
P15034	16082600	15892200	15823000	15686000	11931300	12187900	12067200	12286600	12277300	12031600	12664500	12639400	16123200	12901400	12849300
P00957	23683300	22941400	23154600	23278800	26972400	26712000	26211900	25718900	26536000	25648700	26373100	27000600	23771000	27085800	26888200
P0A9U3	5481920	4904850	5053810	5144940	6739390	6783380	6420950	6807210	6859230	6310880	6587440	6853870	5317420	6847920	6857150
P25539	5440500	5002070	4725070	4707760	3899930	3961320	4082030	3970750	4007520	4101660	4018840	4013940	4904330	4098700	4014020
P75958	1222250	1307160	1408600	1388570	1403310	1339590	1398820	1310930	1356730	1325610	1220950	1310330	1210780	1439050	1415300
P33916	4030480	4547210	4435820	4527320	4082870	4222230	4052380	4166980	4365640	4381740	4180080	4079280	4174970	4116810	4229060
P37759	6870870	7272690	6727880	6459930	8837880	8839070	8937410	8992760	8447990	8729950	8321300	8494690	7294760	9019650	8939720
P07363	325590	1385740	1381740	916744	62816.4	44235.1	232742	83341.5	28400.6	60259.2	11803	NA	864576	183264	67444.2
P0AFE0	4544550	5260920	4432850	4369670	2835880	3400940	4035510	2833650	3214940	3026730	2885650	2996760	4650000	3151590	3335570
P13039	675220	1276400	1486730	1327250	1651060	1828140	1718330	1760130	2106980	1871220	2046700	1540770	1188840	1298480	1719900
P37666	24729400	25688000	25477500	26457600	31325600	30238600	31393900	30665300	31630100	32955600	31240400	30536700	24823200	28580600	29973900
P0AG27	10392500	11143700	10348600	10969800	10409100	10392800	10114500	10095600	10487400	10279100	10058800	10172100	10866800	10553600	11020800
P15254	31503900	38976800	36292900	35977800	35847100	34985500	36193800	33056200	34504500	34294600	34038900	35906300	36034600	36485700	36083900
P0AG93	2679100	2631590	2624430	2841120	2273390	2259100	2180490	2175700	2196240	2048360	2032100	2228290	2389080	2368580	2414070
P39165	227644	234940	253823	317460	275308	326436	286404	265680	285361	302390	285082	287383	275450	314216	279678
P11880	5395480	5630440	5492250	5216850	6370160	6141500	6146550	6236950	6293490	6200900	6248850	6474020	5752070	6230050	5888350
P39396	102228000	87527600	95265800	90065100	1568270	1207060	1125910	1926820	2894040	2993250	4133920	5189560	83669600	4302540	2929220
P38038	19611800	19425900	19838500	19997300	24673300	25143100	24000200	24183600	23262000	23445600	22963500	25379300	19255300	27121800	23325400
P0A991	90718000	100108000	101549000	108351000	47093000	47483100	47875200	47167100	50638000	50548800	48612400	50017800	98280200	47578200	49480200
P39265	2662410	2517540	2313230	2335220	1138180	1040770	1018650	1206250	1017250	1053960	1170460	1157310	2289230	1259620	1168930
P0AAB4	7958130	7921300	7207500	7157000	5347960	5259710	5535980	5360550	5337340	5453480	5424380	5276720	7247440	5237010	4927010
P07102	1617830	1410690	1805530	1643470	1498540	1464250	1401630	1503030	1731400	1797690	1846110	2043320	1589150	1908280	1806180
P24232	5679790	6347810	5650090	5110600	3497010	3780490	3410070	3366640	3315040	3566250	3440050	3101720	5860080	3237160	3367420
P0AGC7	604653	523920	560882	533122	487461	430707	505465	501217	471090	472907	437641	450776	483402	473605	456793
P45470	7398310	11395300	12737000	13199000	6182360	6478040	5713420	6057870	6732810	6465970	5474140	5219970	10416300	5096280	6489760
P0A8E5	1688150	1899440	1529910	1776030	1718770	1603140	1669260	1692550	1709390	1732990	1796440	1571090	1651360	1817770	1702920
P45464	5456430	5184620	5170180	5459780	3918330	3941510	3926030	3713550	3591320	3767000	3613420	3654550	5195200	3902470	3997170
P0A9H7	2714880	2497470	2614310	2338000	3099520	3127970	3090420	3064530	3477540	3555760	3975900	4080770	2296730	3427490	2965830
P75864	3226420	3007410	3030020	2907410	3425520	3421260	3365120	3351310	3335000	3302290	3207090	3351970	2965780	3342820	3315750
P0A7B5	16442600	12634800	12900500	12749800	12996100	12999100	13213800	13060000	13120700	12972000	13848900	13644500	12972800	13665400	13336400
P14294	1334970	1414860	1409580	1334330	1378180	1347670	1361330	1287380	1356370	1315670	1333940	1356540	1471650	1405110	1349450
P17846	26572200	26518100	25591000	25051300	31234200	30258200	29661200	29907300	28830300	30230900	28834600	30249400	25568200	31788800	30059500
P77625	5580890	5823560	5263930	4839050	6847900	7166770	6825070	7112000	6897320	7496890	7262960	7065770	5566320	6938420	7003940
P0AFR2	2007130	1349090	1410250	1143440	858528	641338	605858	665447	694698	694542	755741	925864	1273880	938798	815613
P33570	25005300	31800600	34326700	35004000	28651100	29256700	27259900	28013600	29580300	28989100	27075700	26445400	29117500	25397700	28183900
P60757	16117600	15974500	16123000	15412500	44350500	47171400	47625900	42897800	37124600	42379600	38629600	39604100	16493800	38341800	41660100
P33363	5554230	5159320	5216550	5176590	4415210	4489650	4611360	4287840	4316090	4302730	4337180	4432610	5328870	4526540	4571810
P0A8F0	55386200	55947500	55266100	49126500	51045900	57078600	48728400	58046500	50012600	52461900	56997700	54550700	58518100	54652400	54008700
P36771	4015580	2494920	2604550	2421410	2143270	1991530	2214830	2097730	2157800	2097680	2307350	2315440	2723250	2274200	2087490
P69831	24755400	30697000	33886100	26850800	4261690	4595140	4005760	4190600	3787040	4054430	3213800	4915560	18961800	6071380	4673470
P24228	1240140	1247460	1190530	1319570	1477640	1404970	1448610	1364250	1459140	1381430	1442260	1409510	1260270	1421010	1430810
P0ADF6	475902	433656	429927	446965	1320290	1263960	1340780	1292800	1329850	1261870	1425100	1412220	466908	1487170	1377080
P12996	2598790	2109790	2080450	2221280	3531790	3264020	2712060	2863860	2900120	3060970	2702070	2849910	2140020	2889430	3174910
P0A6P5	7780610	7402950	7509960	7766610	8241640	8377570	8191060	8309970	8270980	8122120	8165150	8082980	7450420	8118580	8385950
P0ADS6	19457200	19921200	21701400	21080300	18015600	19356100	17319700	19630100	18365200	19655000	18818400	17800800	19798900	18274000	18283900
P0AB91	87641900	81605300	83048700	82439900	163236000	163068000	159711000	165706000	161447000	163064000	161567000	160363000	89997500	168910000	182185000
P55734	1648980	1772530	1803320	1812940	1683490	1594250	1633380	1623890	1700770	1565110	1670740	1529910	1708180	1673060	1519430
P00968	34233900	36494800	34500500	35593000	50073400	51346600	48897300	47675200	45595700	44807400	45795100	46434600	36709400	50347000	49217600
P0AEX9	14941600	21448700	18160300	20470200	11706800	11023000	10630900	13316800	13660000	14274100	17004800	14310200	17978200	16249200	15615300
P36938	13582700	13292600	13106900	12877200	10344300	10646600	10318100	10682400	10241500	10600100	10424800	10348800	13787200	10604000	10430000
P03018	7761000	6768540	6950630	6731040	6438210	6513600	6544950	6852350	6507710	6159110	6381110	6716580	7282830	6650800	6443780
P0A993	20142800	20648900	20005100	18961000	9904360	10359800	10799300	9926110	9930530	10339600	10180600	10184100	20803500	10401500	10239600
P0AG07	14237000	14306300	13698800	13150300	13467700	13170100	13669500	12852400	13945400	13594200	14167200	13516200	14145700	13211400	14086000
P33219	11436400	14496600	13367400	14843400	10136300	10701300	8970500	10674900	9738090	10614300	9177120	7984170	12982300	7803560	8888540
P0A715	19542200	20329200	18678300	18418000	18057800	18077700	18824900	17213700	17863400	18035700	18313000	18226600	18821200	17838600	18040400
P0AB77	8847450	6743890	6602270	6392070	1861300	2106770	2166330	2186730	2162040	2029340	2141050	2359100	6816420	2395420	2059030
P0A9W0	1718330	1758860	1720580	1599170	1728080	1661410	1603250	1735500	1688470	1727960	1718510	1780880	1756690	1746890	1738720
P12758	32074400	37129700	33992500	32606700	31991600	33124400	35192500	34408200	36399600	33641300	37038700	36291200	36802000	36434100	33243100
P75745	2821550	2945610	2841950	2874870	2385490	2447820	2464690	2350300	2403880	2448110	2382820	2287000	2768250	2335430	2401920
P75960	10377200	10552600	10338200	9603570	9332250	9188920	9390610	9163210	8819000	9056360	9307480	9360720	10236100	9163300	9245810
P0A6P1	127219000	139569000	136628000	130701000	173893000	177988000	169042000	183825000	176436000	177924000	171865000	170224000	132833000	170757000	184101000
P45425	3291660	3186380	3030470	3495850	1651320	1514880	1705460	1793980	1725940	1976430	1760070	1660410	3243800	1820640	1713060
P0AC53	15916200	15152100	15218600	14737800	17286400	17006000	17403500	17182300	17432600	16970700	17163700	17439200	14774300	16741400	16643800
P43671	2207160	2071090	2083150	2216430	2333200	2415600	2334510	2286490	2337360	2245850	2234690	2237110	2169870	2389360	2375050
P45577	14329600	14343400	13500500	12373400	18992700	18866100	17924900	20486500	18082800	19324800	19236300	18201700	14432700	17885100	19087900
P76004	6360740	5355840	5485370	5062780	3927190	4256650	3930520	4235460	4167520	4274210	4135430	4132070	5178440	3869760	4081860
P0A968	25694200	26973600	22302700	21611000	6207720	6694620	6048370	7575890	7799190	7229060	8276060	7726560	24269000	7357710	7566850
P75777	4799570	5036880	5081280	5287540	4007420	4055150	4031940	4067980	4141840	3932740	4179960	4252000	5179830	4011260	4036040
P0A759	9885740	11894600	12141400	12245100	9122680	8796180	8931490	8372740	8972390	8548570	8516200	8859250	11791300	8513530	9187300
P39385	1288860	1304430	1455930	1498720	1022450	999896	1055130	1006620	1091920	989781	1031940	1024660	1312700	1046240	1075880
P0A7X6	3577650	3670860	3654570	3470720	4273860	4508640	4147960	4594270	4044230	4197230	4343330	4219950	3496960	4178030	4253930
P0A7L3	75569600	83482200	82443400	73398500	112476000	112800000	113718000	115805000	111239000	123746000	117581000	116303000	88988000	114457000	116627000
P0AEN1	4266270	4554020	4342480	4124470	4083910	3844700	3935320	4039560	3902780	4083530	3873480	3962620	4575030	3738950	3580970
P64606	257844	249347	242820	239375	230924	247597	171529	232506	184124	174404	159789	235945	164376	241852	198514
P75809	1094580	1344710	1279330	1215050	1633980	1633490	1544780	1567420	1549950	1586910	1532320	1559670	1333620	1488750	1499180
P42604	825093	845630	868789	1013840	701800	758347	714902	664825	715311	694371	700105	630360	810957	655306	727156
P75954	259827	452175	501677	518999	184602	297217	154801	153266	111004	406456	176321	57279.9	475787	NA	238827
P06971	6098220	8117570	7907560	8637070	7725290	7868540	7358690	7191850	7552770	7320220	6918430	7200530	7669010	7102930	7340980
P0A7I0	2659930	2384660	2498950	2453490	3137290	3232950	3100060	3311120	3181520	3042730	3254410	3227730	2423420	3306110	3308150
P27302	48040400	51468800	48263900	44084800	40822100	40679100	41420200	41134900	43261700	42895900	41844500	42575300	50317400	43243900	42318000
P22731	6606480	7780120	7369350	7460710	7454260	7328450	7720120	7362140	7055380	6697250	6923710	6588020	7340450	6767670	7239480
P0A7Y8	3463690	3446990	3191260	3043530	3563060	3776070	3664900	3657190	3465900	3780530	3812020	3606370	3301100	3580160	3773590
P76440	12844200	4347610	4013660	3216860	824847	583565	860608	1211600	1558530	1360520	2023360	1906830	6092830	1864900	1503380
P75682	1250720	1244710	1207750	1283490	408215	464072	392881	407658	386679	391254	330052	335068	1148020	422126	426984
