"rowname"	"BBM_673_P283_01_VEB_001_R4"	"BBM_673_P283_01_VEB_002_R3"	"BBM_673_P283_01_VEB_003_R3"	"BBM_673_P283_01_VEB_004_R3"	"BBM_673_P283_01_VEB_005_R3"	"BBM_673_P283_01_VEB_006_R2"	"BBM_673_P283_01_VEB_007_R2"	"BBM_673_P283_01_VEB_009_R2"	"BBM_673_P283_01_VEB_010_R2"	"BBM_673_P283_01_VEB_011_R2"	"BBM_673_P283_01_VEB_012_R2"	"BBM_673_P283_01_VEB_013_R2"	"BBM_673_P283_01_VEB_017_R2"	"BBM_673_P283_01_VEB_024_R3"
"P31802"	13112100	11507300	9664810	8757220	10124300	9678070	7005130	6790520	8503150	8530310	8424430	6924380	5209640	6115590
"P00550"	6218610	6891440	7341990	7709610	8127590	7116240	7033590	7866380	7526570	7119650	7789920	4571410	6360360	5768020
"P32681"	459611	389095	493181	447857	552627	432667	460471	527451	504655	476950	584626	371438	511873	464586
"P0ABG1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P00926"	1289610	1294140	1250030	1264970	1303170	1191800	1177330	1193560	1275220	1194260	1311490	1543200	1731060	1717710
"P07024"	26239800	25330100	28584700	25766300	29474300	28298600	26558100	28388500	28431000	27137500	27452300	20902700	21577200	22905300
"P52060"	1538130	1269640	913461	1755980	852284	1162140	1394550	580545	1311850	1154200	1009920	513160	735071	531170
"P0AD01"	3601970	3790090	3859910	3182580	4497510	3755350	3036150	3310550	3518840	3700940	3761090	1705590	2010320	1882260
"P23836"	55939500	54384200	54580700	49848000	54495100	50573800	48544700	47399300	48726000	50239100	48650700	45515100	43150300	47096300
"P21693"	609474	579733	723278	731697	699057	743870	738163	805064	738847	628610	796852	766544	1146190	1108900
"P24230"	25713100	25115200	29944600	26518600	27872700	25937800	26448300	26407800	25596900	25648300	26169600	23963200	26415800	27200700
"P04425"	13393900	12778400	14906300	11408100	16735600	14129800	12618700	14765400	12857300	13967200	14118000	15539200	15718300	15230100
"P0AG82"	7999410	9048180	9114920	11171800	7441670	9324220	10728500	7968230	10965700	9359060	9949900	4998690	5393530	5621240
"P76055"	4516680	4383290	4473330	3515200	4679850	4244370	3745510	4666430	4471450	4254320	4270740	7548580	6320600	6277130
"P0ABC9"	1435400	1700960	1544270	1576050	1163040	1341860	1570120	1582470	1717950	1609510	1582630	1106230	1613900	1316280
"P0AB01"	1005270	1076270	1127150	983688	1158350	1037500	832440	1155080	947885	952322	1028140	878987	935660	998303
"P24251"	24444800	24978200	29557500	22357700	23322800	25439200	24716800	23158900	26371600	26617100	26607000	22642700	28613700	24234000
"P0AE30"	328792	324830	239459	379199	315330	259892	326271	205768	296817	272586	256655	182324	251910	221450
"P0A6W3"	383793	160769	195328	493324	429167	324143	528261	86678.2	166704	NA	147385	155988	284147	519206
"P0ABV2"	7307790	7428610	7958940	13769800	9327560	8239870	9388720	6213580	9453680	8432890	7988850	12953400	12259400	11806700
"P0A9N4"	6441500	5871340	6763250	5640210	7196010	5769300	6355580	6246960	5431060	5612560	5721840	6025170	6937260	7089060
"Q46920"	3358560	3555680	3782740	3162690	4078530	3555540	3404600	3794020	3476300	3838960	3635360	4025480	4355480	4182860
"P61949"	80943200	65480000	60821400	61129400	61276000	68566400	74223900	43831200	69526300	66263100	60238800	61066200	59686500	62781000
"P0A780"	27120500	21509800	20229900	18684400	22031700	21698400	18893300	17832100	22392800	20581900	18521300	16886500	13720600	16231100
"P52062"	1743520	1819090	2269820	1696160	2318050	2124730	1730520	2616550	1807320	2063530	2170850	2609330	1815450	2123320
"P0A921"	2802670	2481810	3147110	2198500	3267040	2915870	2617040	3165860	2999400	3083030	3202010	2712810	3422380	3338010
"P09029"	11341100	11975400	14182200	10664300	14375100	13111300	13082500	13985000	12583100	13182300	13184700	19318200	17756400	16973100
"P0A9Y6"	554503000	442722000	455036000	530589000	464653000	497730000	535144000	280721000	517953000	557224000	491411000	499916000	428188000	427733000
"P0A9X9"	104600000	83224300	42442200	100196000	82908900	81309800	93544600	46489700	94087800	72413000	68680800	125248000	145260000	162950000
"P36995"	5783320	4357270	3441480	8688120	3196490	5928390	10160800	2843410	7690410	5165650	5835110	8001850	7735960	9386140
"P0A972"	786561000	688216000	610282000	753171000	616570000	723714000	804763000	347464000	794718000	691372000	638469000	771270000	718087000	814529000
"P76542"	18951300	17463900	19597000	18688000	19625300	16305600	17160800	20333500	16537600	19687000	18576100	16304400	18780200	18603200
"P32134"	2421210	2744620	3438610	2239660	3328900	2670900	2351970	3896210	3552360	2854610	3383300	2941070	2084590	2470480
"P0ACY9"	4796800	3713640	3051210	2973330	3410810	3473750	4280080	1981170	3740350	3440290	2948690	3349880	3524430	3049810
"P0ACN4"	9383920	8608210	8594620	8760930	11089900	8235320	7908810	11834600	8057080	8971640	9137440	10865000	11222600	14117300
"P25534"	2256840	2099180	2439250	1925420	2831070	2270490	1946460	2648590	2107960	2102150	2359780	2570970	2391730	2605700
"P52061"	18879800	16886100	15226800	14615400	15486400	16739800	16096500	12320400	17748400	17296400	15266100	15012300	13727400	13524500
"P77791"	5872130	5511890	5648510	4351090	5906970	5622560	4897350	5372420	6048390	5961540	5409400	4105060	3540500	3523150
"P23837"	2044250	2074610	2216030	1991950	2113150	2059740	1964580	2130510	2093740	2156560	2320580	1282190	1987730	1882030
"P0AC75"	1582770	1549820	1737590	1799150	1456650	1534440	1655240	1369010	1514370	1767030	1745590	1497660	2322400	2077660
"P14407"	2690550	2533550	2087260	855147	4721040	2135860	749917	3148590	1493470	1792770	1772610	3919740	4468900	5149110
"P0C0L7"	3367610	3435410	3961880	4946840	3895420	3923580	4821150	3159500	4293940	4366040	4447770	11416000	15256700	16870600
"P08400"	594506	678563	691920	910555	559500	568185	798453	720442	804646	711739	694004	731107	612297	733347
"P0AEV1"	1280460	1448230	1255950	1436060	1321940	1281420	1384560	1089340	1294030	1299170	1294300	881551	1320700	1209320
"P0A927"	15884000	17761700	21468600	12452900	20037000	17881000	15767100	18528400	17624000	17788900	19536200	18887200	21783600	19492100
"P0ACI3"	432734	NA	407888	560999	362211	511460	478297	549009	NA	229599	348177	524598	396288	554395
"P69506"	NA	NA	NA	NA	NA	NA	NA	10487.2	NA	NA	NA	18539.8	NA	NA
"P23871"	1510740	1505680	1806250	1731850	1670580	1700210	1675830	1800930	1923280	1790860	1942120	2431550	2287570	2371850
"P0A908"	15154000	17638300	21762700	14091400	19442300	19437200	17370900	20804700	19458600	17881700	17737300	19215500	20598900	22648000
"P45531"	2100580	1721920	1687070	1685670	1858370	1826420	1564540	1589090	1790440	1750740	1628780	1455900	1323840	1363310
"P30128"	9677320	7824910	7785730	6089140	8077050	8159430	7432360	6679690	8130540	7634520	7052220	8410140	5721070	6058080
"P0AA39"	3706540	4148840	4590900	3827870	4592310	4088140	3900980	4429930	4139780	4357940	4436850	5219090	5125380	5177570
"P15078"	8726280	10395000	7930600	8674570	5930080	7086970	9840580	7607210	10283900	7863400	8431320	287351	479685	524309
"P75792"	1278930	1469000	1553140	1797330	1464850	1415240	1668170	1415580	1544740	1524640	1383520	1472470	2127400	1903640
"P0AFH2"	7545130	8013810	5685040	7901740	9371250	5991540	6536930	6235290	6641700	6042470	5888770	7441920	7779180	8864100
"P0A7B3"	1180890	1119030	1155390	1534490	1044650	1200660	1279780	927295	1225240	995987	1313830	811589	966814	1085250
"P05052"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P75823"	5977820	6009870	6813810	5736410	7223100	6327080	5545830	7028700	6083630	6677220	6779080	6080430	6638510	7188540
"P0A6S7"	12388800	12116200	11465900	11480200	12777100	12102700	11774300	10401000	12697300	11293400	11416300	9863590	8452520	8883790
"P69828"	249814000	232304000	238984000	211431000	322898000	253368000	187473000	234953000	227773000	225085000	228463000	76561800	60881900	79410600
"P0A8P3"	91459000	74659700	67842500	79124500	70945100	77079600	73561300	56894900	86119100	72219700	66299200	65935400	50522600	53316200
"P0ADP0"	3433990	3395500	3866310	3030760	3611510	3449560	2906870	3798880	3397470	3407060	3353650	3922020	3291030	3435630
"P64517"	8688500	5545150	5626630	6489450	5572350	6225890	6173340	3329880	5727740	6698690	5194690	1434250	2125510	1993540
"P0AE63"	12868700	9769740	8856160	12819500	10715300	12508300	14920500	6369820	12792300	11931500	10592000	8326950	8036130	7919910
"P0ACU5"	3376810	3575310	3471210	3420060	3501650	3258190	3554600	3360250	3320670	3431610	3813550	3154380	3874520	3787360
"P0AEQ6"	1321280	1322410	823035	1468220	753048	896834	1864350	702109	1442100	1123010	993364	379924	778562	806412
"P23883"	715500	847149	815622	728958	802169	837142	713362	837703	818338	787824	756474	821075	1089850	1035830
"Q93K97"	3911840	4323950	4795670	3896650	5053690	4406610	4088390	3962020	4351400	4492670	4328550	3943100	4735820	4382520
"P37128"	1054420	937169	933671	1022160	948964	998724	1250440	771168	995418	1179520	1070400	1009080	1508650	1212760
"P75801"	202386	151688	143661	220922	201655	219025	107316	175343	134193	138009	153561	354265	466911	409813
"P0A823"	1286700	1221700	1390230	1326800	1342380	1235730	1308640	1119380	1184620	1285990	1287940	725545	1387950	1206840
"P0ACU7"	16248800	14658800	14390300	14601200	13829200	14076500	16197400	13070100	16335200	13841100	12876700	11276200	10160800	9121400
"P0ACC1"	1033770	896720	980548	745259	1111860	826298	625506	1038810	792270	775278	783812	755978	851833	930268
"P0A9Z1"	37528300	31511100	28333200	30597800	30880800	34183400	26681700	22984500	32400200	30146600	26370800	32736700	22720100	26518700
"P0AGA6"	5011680	4206920	5036180	3362370	4630690	3997310	3322600	4482030	4185650	3923380	3665920	3926990	2762250	2964610
"P64557"	667934	800898	723953	566639	856218	709819	607680	662918	NA	962922	908096	NA	NA	NA
"P0ACT6"	2539310	2728260	2431840	2352080	3081510	2403970	2210750	2873990	2415490	2604620	2668890	999489	1659300	2016970
"P76330"	1556690	1367320	1520400	1558060	1636520	1489050	1622200	1840500	1432070	1410770	1514520	954475	1248720	1130920
"P0ACN7"	2080410	2141880	1969240	1736970	2035490	2017030	1705870	1841490	2061370	1975720	1935380	1600780	1077420	1173820
"P77554"	2315690	2392480	2524440	1992710	2698060	2438310	2048340	3146710	2138710	2271990	2386120	1785030	1852420	1720820
"P75822"	1532970	1644150	1775930	1797790	1892290	1674210	1513440	1619240	1554090	1573630	1567510	1158670	1409850	1192190
"P02929"	3789590	4354650	4219940	7490680	4126240	4758240	5637820	2952010	5077080	5388420	4796680	5915820	6203600	5471840
"P75746"	2442050	2841750	2929420	2754290	3157270	2845160	2496960	3159970	2775440	2686750	2938240	2737750	2530780	2432250
"P0ADN2"	121288000	88299800	89516300	97521300	86790500	105119000	98753400	63586100	105594000	95147000	84991400	102085000	85806700	96587400
"P64545"	1072890	673983	1186830	1222860	1423270	1216830	1490840	1381850	1202240	1208720	1262940	1157180	1314130	1415560
"P23862"	1331560	2580330	2109590	2365910	2322990	2805550	3067800	2303550	3123570	2257590	2671040	2415840	1885680	2143510
"P0AEX5"	3262660	3672650	4317080	3747750	4090420	4005010	3732240	3726020	3918050	3771820	3943190	2468280	2709190	2842390
"P45799"	7282290	7522710	7119560	7288130	7578830	7667000	7810370	7171990	7720870	7853370	7609050	6015390	6543300	6732550
"P38105"	4875850	5656770	4260370	8273900	3530740	5644210	10449700	3952530	6953080	5362920	5217840	3138330	2604610	2913110
"P08622"	22613500	21970300	21509900	20845600	18496900	22092800	20147700	19363000	23296500	22011400	21186200	22017900	15438800	18513900
"P20099"	2570850	2686520	2974850	2808420	2960770	2764450	2976570	3424820	2789800	2773210	2900850	3366720	3899500	3486180
"P76549"	991197	1227450	943372	1035740	974593	1033640	844938	913761	1032950	1172460	1144320	324269	850395	759675
"P0AFM4"	5324670	5284670	4411780	6301310	4547080	4953140	6144160	3201960	6212930	5124360	4821850	3662020	2708550	2859930
"P0AC30"	3616340	3617460	3697690	3561200	3855030	3372120	3470720	4121020	3639080	3598630	3585230	3928560	3821310	4137820
"P0A809"	4967900	4272580	4181750	4168050	4326260	4197610	3584140	4349210	4602280	4377940	3934830	3027900	2615010	2904670
"P75849"	19326800	17633200	17647200	14775800	20502200	17748500	17264400	18425300	16820200	17742700	15620100	17294400	15568700	16053900
"P13857"	3036530	2331650	2365350	1887330	2818750	2320040	1992290	1939560	2221500	2188120	2143660	1934330	1240610	1408050
"P29217"	24051500	20118600	17698200	19464600	19211200	19682000	18442600	15641900	20418000	18641400	17841200	16495500	14546600	14459400
"P39332"	1449330	1282870	1322930	1889850	991530	1476390	1721760	976274	1477550	1347030	1344700	381304	858650	795863
"P22186"	7760260	6965180	6551550	6095000	6738040	6680010	6255110	5976250	6638860	6631560	6358430	4108630	4116130	3836660
"P0ABK2"	1786150	2149050	1558360	1742390	1695100	1302860	1854620	1419930	1744630	1532140	1796540	675600	896283	992694
"P0A9X1"	8488950	8537710	11815900	6665980	14742600	10490400	5871130	11395500	7957950	10700400	9331700	19260100	16512800	18357100
"P14375"	514426	514751	604391	465118	628881	706756	373814	544150	429590	472230	589594	525069	412240	561975
"Q06065"	701750	836471	774093	769514	1081580	842816	960759	785313	784821	869527	936442	486312	339033	531380
"P0AEU0"	137934000	112981000	106356000	98196900	105630000	121356000	105482000	73448200	123981000	117978000	110748000	71960300	78259900	87155000
"P69222"	41628600	33786100	29749500	33575300	36084500	33725100	29664300	24606200	36345400	34370900	29300700	42873600	34115600	38239100
"P0AEI4"	7470930	7183160	7830670	5139500	7804690	7035040	5978030	7817540	6656780	6644130	6896090	9693240	9580680	8753420
"P76318"	1062800	1003080	764275	975750	1034360	954804	1228510	675911	1045780	1038410	694546	954517	711772	628634
"P23845"	25781300	28619900	31070000	32068000	24957600	28678100	32024400	26620500	27516300	28635300	30692400	36990900	48899300	44854600
"P32162"	4419270	3614900	3140460	4477460	3477350	3406160	4121940	2262620	3739940	3270360	3317680	1590270	2016780	2056970
"P43672"	3784130	3961020	4191180	3729340	4337600	3900630	3761560	4381860	3823910	4076480	4180560	4947900	5930610	5737120
"P0A6W5"	65633900	52774300	46402500	53800600	47783400	55440300	51846200	34373800	55669100	51150300	44941200	36903000	31780000	32241900
"P11349;P19318"	2314830	2135440	2431640	1653050	3436200	2266480	2257220	3160520	2039650	2199170	2105750	4689280	5594680	5008690
"Q46868"	17041400	34181500	25428100	36003600	30470200	27032200	29917800	60570000	33420000	27142000	27400400	27664800	24919800	22002700
"P0A7T3"	314132000	259432000	261497000	267912000	273938000	284619000	263953000	193160000	301278000	253392000	225477000	371318000	233777000	277711000
"P0A9J6"	7436070	6971680	6726610	5496950	6977630	7458360	6082520	6417380	7112240	6651030	6381370	2915940	2458430	2419970
"P76113"	26171700	23582500	24899900	25291800	25317000	24603000	32139700	22539100	26861000	22944200	23322600	21716400	21350200	21745100
"P0AF43"	1487380	1390740	1655390	1477210	1302740	1383620	1594010	1459640	1456980	1445270	1510320	1048570	1250480	1341710
"P0AF36"	224677000	175588000	165752000	152218000	175068000	186535000	138582000	123474000	177618000	165950000	152323000	183301000	119939000	126299000
"P30015"	415657	434568	478857	430626	539848	412358	394331	624900	434798	376928	426382	255820	364709	291370
"P0A742"	4449690	3886720	4885300	6194500	5266000	4515750	6616000	3973100	5211420	4970380	4928160	4023560	4093540	4293580
"P80668"	5819730	6860980	8382540	8981250	7424270	7019780	9814900	7669300	7645410	7730090	8797060	3071880	3486020	3890470
"P0A6E1"	9573800	8845430	10459600	9015420	9854920	10964100	10012000	8439090	9933090	9693310	10584100	11625500	8380980	9780950
"P0A840"	3255320	3328990	3324020	2721040	3601460	2946060	2801830	3446570	3109290	2839300	3323500	2704350	2171250	2299920
"P52076"	1010590	793495	823462	752506	904622	822080	801180	633963	785444	762163	809740	852642	596139	639420
"P0C0S1"	15388300	18075300	15713400	20355000	15431800	15964100	19729300	14720100	17491700	17834800	17275700	16301600	17341400	18243900
"P0A817"	139579000	149397000	169344000	131758000	177866000	158410000	132285000	162571000	147113000	156807000	152678000	145656000	169308000	165890000
"P0A8D0"	11792800	8726030	10191800	9206000	10188800	9898720	10020800	9219010	9905210	9850980	9090400	7211230	5811310	6085090
"P0AAQ6"	1513110	1200400	1164880	2292430	1131180	1596750	2603580	788192	2148130	1327220	1348870	316518	414821	412986
"P08202"	1369060	1348510	1419870	1326510	1535760	1178860	1324560	1575280	1297330	1303790	1384240	495654	464018	405781
"P23894"	17428300	16987500	19497000	14869500	19816900	19066900	14734100	19273600	17286000	17775100	18487800	22411300	16057900	18879900
"P0AFH6"	7582860	8215940	5519080	6854140	9091230	7381120	7091700	6692180	6912570	6564870	6015260	6538300	9370590	9135360
"P75966"	3912880	3374210	3973180	3394140	4193160	3375470	3701150	4172970	3675410	3848550	3429830	4516730	3467930	4151050
"P0AA25"	228651000	175857000	166163000	186068000	156536000	196575000	206903000	113534000	187415000	184903000	172165000	191726000	151138000	165821000
"P06968"	45682300	40848000	35662900	38470300	33081500	40357100	38981600	25352200	40809200	37279500	37778200	26631600	25796600	24589400
