rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646
P0A9F6	38600.9	37521.6	37751	40930.6	41512.3	34079	39021	34204.6	39530.5	29266.5	34268.5	27311.9	40189.5
Q59385	197696	165578	140855	178679	130405	146875	137585	187509	178243	148359	166457	124292	228492
P36683	3015590	2892250	2817230	3224060	3195530	2762880	2674190	3376390	3262620	1358940	1445580	1112820	1605040
P00961	542863	631607	634890	596994	646553	607450	658481	672566	625798	607671	645759	540047	645870
P77541	18658	20402.5	17281.8	24341.5	16261.3	38207	31527.5	11316.6	17266.4	8970.33	3913.18	3002.16	5732.1
P0A6C1	70224.2	90713.8	89675.1	80196.4	74610.3	83647.6	92002.9	88776.8	69881.5	115079	104914	112416	101574
P27306	297561	444352	408515	364218	409445	371113	364345	450377	359779	117776	124002	107200	107274
P0ACB7	274809	200724	206983	257956	244480	243357	218405	164706	261716	137675	204520	108658	229487
P0A9U6	18380.4	22249.4	23441.8	23233.9	26107.6	19820.8	28242.4	26453.9	19147	14024.1	11410	14569.5	12294
P28249	52221.5	41665.4	37331.4	49775.8	42897.6	45725.1	36889.1	32099.1	47129.7	24652	38844.1	19262.8	38189.1
P07813	295970	250514	216505	278387	267018	268400	247984	250844	288678	224355	359666	199051	348252
P0A870	1543860	1829180	1622970	1738790	1802450	1746940	1955960	1481820	1696660	826427	1208910	859564	1355970
P30864	37348	39345	41241.3	35813.6	41031.3	40303.2	37031.2	37991.8	40440.4	34332.9	38464.9	28748.1	43578.5
P0ACE0	73000	80301	97798	66414	88468.1	70856.2	60000.6	119835	105961	103878	73397.6	96843.1	118166
P0A8R9	16605.8	24468.1	18813.8	17024.5	19780.8	20290.6	21479.5	18322	17925.2	20587.4	27326.3	17860.8	26018
P21513	670208	775896	753058	758066	773788	704641	728136	797210	766870	758176	860026	806428	837264
P77171	105729	116191	106614	117274	127196	112461	107328	109446	100428	48611.1	48615.6	34894.5	57591.1
P76116	777791	924371	799280	962554	715889	782464	1018220	655846	661241	762745	960442	753437	906158
P00934	1627710	1953360	2142670	1896170	2097240	2172210	2568580	1975950	1827340	1439140	1650030	1283220	1453370
P0ABC7	417406	393957	310965	394167	439683	407521	456560	299780	361463	226695	458313	152616	421906
P77649	26928.1	33873.4	31360.5	33629.6	31707.4	33379.1	33671.5	32524.1	29632.1	27937.3	33415.6	26565.6	28645.3
P0ABA4	1132950	1374790	1099070	1418990	1205170	1217300	1195670	945488	1225670	783905	930519	744278	757907
P77748	171920	154986	161092	177627	163659	160565	137249	187613	176024	190788	223459	172345	235256
P0ABJ1	503369	845169	646178	631866	739736	649160	850232	627556	664666	349596	465854	270262	301363
P65870	134650	91053.4	98101.3	81175.6	97437.7	123261	103109	77023.2	97809.6	92928.4	119903	98029.2	106242
P0A9J0	102018	121674	107164	107077	111708	101799	115003	91221.7	89415.4	132722	177807	116756	171777
P0AD59	959648	916758	784289	1173330	838396	905739	1037560	718420	969896	387037	556020	374970	489908
