"MSP"	"SRS9032198"	"SRS9032196"	"SRS9032195"	"SRS9032194"	"SRS9032193"	"SRS9032191"	"SRS9032190"	"SRS9032188"	"SRS9032186"	"SRS9032183"	"SRS9032182"	"SRS9032181"	"SRS9032180"	"SRS9032179"	"SRS9032177"	"SRS9032176"	"SRS9032175"	"SRS9032172"	"SRS9032170"	"SRS9032169"	"SRS9032165"	"SRS9032162"	"SRS9032161"	"SRS9032159"	"SRS9032158"	"SRS9032157"	"SRS9032156"	"SRS9032155"	"SRS9032154"	"SRS9032153"	"SRS9032152"	"SRS9032151"	"SRS9032149"	"SRS9032148"	"SRS9032147"	"SRS9032146"	"SRS9032145"	"SRS9032144"	"SRS9032141"	"SRS9032140"	"SRS9032139"	"SRS9032138"	"SRS9032135"	"SRS9032134"	"SRS9032133"	"SRS9032131"	"SRS9032130"	"SRS9032128"	"SRS9032127"	"SRS9032126"	"SRS9032121"	"SRS9032120"	"SRS9032119"	"SRS9032116"	"SRS9032114"	"SRS9032113"	"SRS9032112"	"SRS9032111"	"SRS9032104"	"SRS9032102"	"SRS9032101"	"SRS9032098"	"SRS9032097"	"SRS9032096"	"SRS9032095"	"SRS9032094"	"SRS9032093"	"SRS9032092"	"SRS9032091"	"SRS9032090"	"SRS9032089"	"SRS9032088"	"SRS9032086"	"SRS9032085"	"SRS9032084"	"SRS9032083"	"SRS9032082"	"SRS9032081"	"SRS9032079"	"SRS9032078"	"SRS9032075"	"SRS9032074"	"SRS9032072"	"SRS9032070"	"SRS9032069"	"SRS9032068"	"SRS9032067"	"SRS9032066"	"SRS9032065"	"SRS9032058"	"SRS9032056"	"SRS9032055"	"SRS9032053"	"SRS9032052"	"SRS9032051"	"SRS9032050"	"SRS9032047"	"SRS9032046"	"SRS9032044"	"SRS9032042"	"SRS9032041"	"SRS9032039"	"SRS9032038"	"SRS9032036"
"msp_2555"	10026	37	2222	14	619	1681	74	29	10	0	0	0	0	0	0	21	64	0	0	0	0	1066	0	14369	0	3425	40	70	7	0	14	436	0	188	71	0	934	2429	101	2200	47	0	15675	1348	27	52	0	0	25	0	27	0	39	14	239	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	12	11	0	0	21	0	0	30	197	22	24	30	0	0	0	219	0	0	0	28	0	0	157	0	0	0	21	267	0	0	7	23
"msp_2556"	0	0	14	0	32	0	0	22	0	269	48	0	0	12	0	0	45	0	19	12	0	0	0	10	0	0	0	0	0	0	0	39	18	55	14	227	15	24	0	13	11	0	22	7	42	95	10	0	0	0	0	0	0	0	11	0	0	20	13	0	0	119	0	0	0	0	17	13	107	0	0	0	42	27	0	0	14	0	0	0	0	0	0	0	0	0	11	0	0	0	0	26	0	0	14	20	0	0	0	0	0	0	10	0
"msp_2567"	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	24	0	5	9	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	878	0	0	0	0	0	0	0	0	0	0	0	0
"msp_2588"	0	0	0	12	0	0	8	0	7	10	8	13	0	142	8	0	0	0	6	0	0	0	0	0	0	0	19	0	17	0	0	19	58	0	0	106	0	50	16	10	0	0	38	13	0	0	0	13	0	0	0	0	0	5	8	0	0	13	11	0	0	0	0	17	0	13	0	0	13	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	5	12	4	0	0	0	0	0	9	0	14	10	0	0	20	7	0	13	0
"msp_2681"	10	0	0	0	0	0	0	0	0	0	0	0	0	13	39	56	0	57852	11	0	0	0	0	0	0	0	0	0	3647	94	0	0	0	0	0	0	51	0	0	7	0	0	0	0	0	0	207	0	0	0	0	0	6	0	8	0	0	250	162	0	6784	0	0	0	0	7	0	4	0	65	17	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	31	8	357	21935	9	0	0	0	0	7	318	2459	714	20	229	91	0	0
"msp_2692"	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	6	0	24	0	38	0	0	0	0	0	0	36	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	12	91	0	0	0	0	0	0	0	0	25	0	0	18	0	27	0	38	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	866	0	0	373	0	0	0	0
"msp_2829"	0	0	0	0	0	0	0	0	0	39	14	0	18	126	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	10	0	0	0	0	0	18	0	8	0	11	0	0	58	0	0	0	0	0	0	0	0	0	12	0	10	6	0	46	10	0	0	16	0	0	0	0	10	0	33	0	0	0	0	0	0	0	7	0	0	0	13	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
"msp_2838"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	315	0	0	0	0	0	0	281	0	0	0	0	0	0	0
"msp_2848"	0	0	0	0	0	0	634	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	9	103	0	0	0	0	0	0	0	9	0	0	7	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0	0	0	0	40	0	0	11	0	0	0	0
"msp_2854"	0	0	0	0	10	0	0	0	0	204	15	0	46	34	0	0	0	0	14	10	0	0	0	9	0	0	0	0	12	22	0	0	19	0	38	254	12	23	0	36	47	0	41	0	0	0	0	5	0	18	59	0	40	0	0	8	0	206	35	0	0	102	0	0	16	0	60	128	34	16	0	23	12	11	0	17	10	0	0	0	0	0	0	0	0	43	0	0	43	0	0	135	0	26	19	9	0	0	31	10	0	0	0	0
"msp_2875"	0	0	0	70	95	0	0	13	0	27	0	0	115	164	0	0	0	17	0	0	0	0	0	30	0	0	0	0	27	23	0	0	105	0	0	32	0	27	0	0	0	0	83	0	54	0	0	0	43	19	24	0	0	0	20	0	0	0	135	0	0	44	0	49	0	0	0	24	118	0	0	0	41	0	0	0	51	0	0	0	0	18	18	19	0	0	0	0	0	0	0	73	0	71	23	15	0	13	0	20	19	0	0	0
"msp_2881"	0	0	0	7	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	16	0	0	6	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
"msp_2886"	0	0	154	0	250	0	0	0	0	927	1637	0	60	98	0	0	8	0	0	118	287	0	28	358	0	0	0	0	0	0	26	15	27	19	15	0	50	269	17	106	0	53	26	22	314	38	0	0	55	0	27	0	69	281	92	32	0	818	192	28	0	39	0	0	0	0	0	0	4435	0	21	12	155	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	60	0	0	358	0	0	19	0	91	72	0	64	0
"msp_2887"	0	0	290	24	164	0	0	0	0	2065	580	0	40	56	0	0	41	145	36	22	30	9	19	740	0	0	0	0	14	23	37	29	100	39	29	0	0	423	159	251	0	28	339	41	420	38	0	0	44	25	82	0	117	517	81	58	0	403	134	20	0	75	0	0	0	0	142	11	13267	0	0	46	105	88	0	17	113	0	0	0	11	0	0	0	0	17	0	0	143	57	0	104	0	27	319	8	0	0	0	107	24	0	33	0
"msp_2888"	0	0	322	19	304	0	0	0	0	2098	992	0	0	121	0	0	30	165	41	30	52	0	0	749	0	0	0	0	0	0	35	34	45	42	45	0	0	409	132	197	0	46	316	41	637	15	0	23	64	0	165	0	128	323	51	65	0	441	222	36	0	81	0	0	0	0	98	17	13336	36	0	39	137	73	0	0	193	0	0	0	0	0	0	0	0	0	0	0	144	74	0	181	0	0	304	25	0	0	0	79	41	0	31	0
