"MSP"	"ERS2637868"	"ERS2637867"	"ERS2637866"	"ERS2637865"	"ERS2637864"	"ERS2637863"	"ERS2637862"	"ERS2637861"	"ERS2637860"	"ERS2637859"	"ERS2637858"	"ERS2637856"	"ERS2637855"	"ERS2637854"	"ERS2637853"	"ERS2637852"	"ERS2637851"	"ERS2637850"	"ERS2637849"	"ERS2637848"	"ERS2637847"	"ERS2637846"	"ERS2637845"	"ERS2637844"	"ERS2637843"	"ERS2637842"	"ERS2637841"	"ERS2637840"	"ERS2637839"	"ERS2637838"	"ERS2637837"	"ERS2637836"	"ERS2637835"	"ERS2637834"	"ERS2637833"	"ERS2637832"	"ERS2637831"	"ERS2637830"	"ERS2637829"	"ERS2637828"	"ERS2637827"	"ERS2637826"	"ERS2637825"	"ERS2637824"	"ERS2637822"	"ERS2637821"	"ERS2637820"	"ERS2637819"	"ERS2637818"	"ERS2637817"	"ERS2637816"	"ERS2637815"	"ERS2637814"	"ERS2637813"	"ERS2637811"	"ERS2637810"	"ERS2637809"	"ERS2637807"	"ERS2637806"	"ERS2637805"	"ERS2637804"	"ERS2637803"	"ERS2637802"	"ERS2637801"	"ERS2637800"	"ERS2637798"	"ERS2637797"	"ERS2637795"	"ERS2637794"	"ERS2637793"	"ERS2637792"	"ERS2637791"	"ERS2637789"	"ERS2637788"	"ERS2637787"
"msp_1172"	0	10	0	322	0	241	154	0	0	292	51	0	0	38	0	41	0	0	0	17	968	0	0	24	0	0	216	193	132	0	0	35	0	0	16	37	5	111	0	0	113	0	0	0	220	0	0	0	0	0	0	15	25	0	402	15	0	114	22	0	0	0	0	0	224	114	0	202	0	0	0	65	0	0	0
"msp_1173c"	0	107	236	573	168	336	805	0	94	0	0	8	0	0	0	0	0	79	108	70	177	21	295	34	210	0	324	0	56	0	562	0	0	0	0	151	172	0	2621	374	0	19	336	61	0	36	0	0	0	0	0	79	189	7	109	279	0	63	0	0	0	200	125	0	0	0	103	0	227	15	617	97	130	0	625
"msp_1177"	0	45	0	336	0	335	925	49	0	488	0	0	65	101	69	18	0	0	0	0	0	0	1041	208	0	373	207	354	154	0	0	212	280	0	78	448	264	87	188	0	0	393	0	0	359	26	0	0	0	192	0	0	32	0	177	413	179	24	0	0	0	0	0	15	0	412	114	111	0	0	20	107	136	61	0
"msp_1180"	0	0	0	0	0	0	834	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	32	0	0	0	0	0	0	0	0	0	0	167	256	0	0	0	539	0	0	0	0	0	3658	5141	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1185"	0	0	0	0	0	0	75	0	0	0	0	0	1273	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1188"	0	90	0	0	0	0	25	0	0	0	0	0	0	0	43	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0
"msp_1189"	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	40	0	5	0	0	0	281	0	0	15	0	0	0	3727	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	1012	0	0	0	0	0	0	0	0
"msp_1193"	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1798	0	0	0	0	0	0	35	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1327	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	5	0	0	0	0	456	0	0	0	0	0
"msp_1195"	0	0	0	0	0	0	14	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	744	0	0	0	0	0	0	0	560	608	0	0	0	0	0	0	0	0	0	0	0	0	0	1733	0	0	0	0	0	0	0	144	0	0
"msp_1196"	0	0	0	0	0	0	0	0	246	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
