"rowname"	"DDA_NVG_D5_1"	"DDA_NVG_D6_1"	"DDA_NVG_F7_1"	"DDA_NVG_M8_1"	"DDA_NVG_D5_2"	"DDA_NVG_D6_2"	"DDA_NVG_F7_2"	"DDA_NVG_M8_2"	"DDA_NVG_D5_3"	"DDA_NVG_D6_3"	"DDA_NVG_F7_3"	"DDA_NVG_M8_3"
"Cytoskeleton-associated protein 5"	18.3106539857015	18.5762584791702	18.868936510512	18.8384395051238	18.6504702980589	18.3452111253774	17.7385868671334	18.4773089905204	18.3682381237688	18.2716543278944	NA	18.5840247229928
"Cytosol aminopeptidase"	20.1620669954761	20.1888968941443	20.1975650479091	20.3410286274337	20.3174371405016	20.1956822367599	20.197698960414	20.3954362388537	20.2006563866846	20.0951685237496	20.2978140323948	20.3576024279192
"Cytosolic 10-formyltetrahydrofolate dehydrogenase"	17.4097333761429	17.6034128014422	18.2127951622855	17.5731568498652	17.6582548839899	17.5680042530496	18.1059654659258	17.100571536617	17.5999030701758	17.5578230660514	18.1411408640507	17.2876811605784
"Cytosolic acyl coenzyme A thioester hydrolase"	18.9458249956445	18.9667928413073	19.1963587364251	18.7304122750657	18.9883410852167	18.8619921703686	18.6435995473535	19.0301509326547	18.5325616873856	18.5576423691658	18.6994563626474	18.529901064405
"Cytosolic Fe-S cluster assembly factor NUBP1"	18.2711390349714	17.8465711561795	17.6754330501298	17.9289708979705	NA	17.9551558757218	17.6607238374805	18.0307380532676	17.8309837516332	18.3891753767571	17.7149583897429	17.7644760552127
"Cytosolic non-specific dipeptidase"	19.7188128119383	19.6411088847446	19.6057014395969	19.7376793854048	19.7782040458728	19.6747470657704	19.6120633475637	19.8094070516936	19.6818877182563	19.6169523657482	19.5442628165852	19.7449795904179
"D-3-phosphoglycerate dehydrogenase"	20.2780959124719	20.20308875365	20.1351837972619	19.9674681344983	20.3519069459926	20.304687214153	20.24828001535	20.0880906893696	20.3138813971319	20.2579398075311	20.1682789047921	19.9980241335916
"D-beta-hydroxybutyrate dehydrogenase, mitochondrial"	18.1869555283691	18.0478965688745	18.1491180658489	17.9209759983311	18.3914122041247	18.0181165044209	18.1587982395131	18.2834499248607	18.3752230101603	18.2136578168867	18.2467719140722	18.3215523937445
"DAZ-associated protein 1"	19.7887586348163	19.4291650568717	19.637690744142	19.7726025885225	19.694977877398	19.4803904670891	19.2691591969804	19.5118668582762	19.6120926547885	19.4408819490067	19.3071504440067	19.6572067605585
"DBIRD complex subunit ZNF326"	17.0154135626417	17.2097120786246	17.5798563534887	17.2006023846159	17.1652263761145	17.2529666333283	17.2693907792037	17.3186729258883	17.2385696478016	17.3951633413453	17.896614841954	17.5217963040991
"dCTP pyrophosphatase 1"	17.8672433846746	17.9158320644939	17.6715576705048	17.8025194023048	17.4641835170448	17.814661422414	18.0410810362083	17.5033407917981	17.8822180968036	18.046047025934	18.0913262429345	17.7124575518037
"DDRGK domain-containing protein 1"	17.7301994475038	17.6630835376365	17.5782945360213	17.4607280791243	17.5205746667709	17.9091699209851	17.8934247835546	17.6340413180482	17.6103403420696	17.5853646591044	17.5702216162468	17.4517474913196
"Dedicator of cytokinesis protein 10"	NA	18.1665534425441	17.7153139573249	18.4268952085544	17.6774132518746	17.7715540764145	17.7044810680138	17.8308678696838	17.5019753835479	17.6156523662725	17.4424397591255	17.7280082752137
"Dedicator of cytokinesis protein 2"	18.8518777089335	18.7678480550595	18.7327908205278	18.8772501788911	18.7958697803166	18.8097010875148	18.7238544283168	18.9370498994932	18.8899063685387	18.7884027594791	18.7845253456313	18.8107039063077
