rowname	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s84_X018	CVT09_s93_X020
P03018	20.34066021794281	20.634441765952584	19.887166228431433	20.426550878283752	20.23926065963718	20.200059424744886	20.04380125343024	19.986658800074093	20.518788608437312	20.408311043767895	20.28323953808311	20.148269678682702	20.31214591668714	20.210162048034608	20.30204930889935
P03023	18.94148432015684	19.210379314329032	18.94869874168695	19.239715128510433	19.218965078017497	19.386988828066688	19.052238284362783	19.073580231531025	19.248983824333493	19.036269776445447	19.24470249818972	19.204768708649297	19.087074106782072	19.16930023828393	19.1632230551647
P03024	18.876316805362812	19.208785584658923	18.863969329329638	18.92034243917271	18.903734921439966	18.812251050476814	18.576451995227416	18.754373852531902	19.152910736092817	19.134791796849758	19.098312952802278	19.266022609430497	19.194548061382633	19.145664344065626	19.064548414801788
P03030		17.43852596035636	15.640934140586605	17.75544234731289	17.543986273114623	16.80755853746105	17.652905417007624	17.678669321625073	17.09431250143776	17.457387764685755	17.934477606522325	17.519183913187717	17.474890948393202	17.884866712456958	17.456073918511642
P03813	20.779288720458368	20.93886385031182	20.900347341845656	20.96092680543566	20.996738007374713	20.892741950912967	20.92303669171092	20.961126064564898	20.862268673884497	21.010818846478937	20.667078739094787	20.57104038267786	20.688668357622717	20.55789275107547	20.6739128195446
P03817	21.838391191306187	21.602688401216003	21.616199581651202	21.76651225240924	21.70039867259901	21.79255051276681	21.56178977487233	21.676914618179982	21.515178108424543	21.64726940799513	21.571863498612014	21.439602094621506	21.45947816361239	21.491763160769313	21.365377327599447
P03819	17.47910500142595	17.984436762697044	17.736100696910597	18.153236453775875	17.266220421819305	18.166576257252125	18.33542206869536	17.911096964825354	17.448219406180765	18.01316183198036	17.29860373680912	17.858279143859455	17.52513693161091	17.31322016940182	17.88486511945031
P03841	22.068239467097044	21.49540039970351	22.450713012868782	21.97931245225472	21.80167576618901	22.35219466891593	22.391541717913388	22.268810919188866	21.483149484338604	21.427056378825327	21.645148865377163	21.64814726853356	21.63341946692129	21.828013915093152	21.761552109695884
P04036	22.80203920723676	23.104097563878348	22.69458749156523	22.786008135919666	22.88006959916602	22.673102235342988	22.809271623608716	22.823279466326014	23.09896832966978	23.083470294622344	24.06879169792061	23.927067113964142	24.05972959210125	24.045324612389635	24.06302584564537
P04079	23.413470510423267	23.537734755622566	23.161106986676895	23.566538632319354	23.31994613404952	23.365929469661676	23.193076732287423	23.182187997102154	23.642437275783603	23.573712323928415	24.11480838318639	24.182019937509047	24.22767034770522	24.146799109790802	24.158437265057202
