"rowname"	"U_L1_D5_01"	"U_L1_D5_02"	"U_L1_D5_03"	"U_L1_D6_01"	"U_L1_D6_02"	"U_L1_D6_03"	"U_L1_F7_01"	"U_L1_F7_02"	"U_L1_F7_03"	"U_L1_M8_01"	"U_L1_M8_02"	"U_L1_M8_03"	"U_L2_D5_01"	"U_L2_D5_02"	"U_L2_D5_03"	"U_L2_D6_01"	"U_L2_D6_02"	"U_L2_D6_03"	"U_L2_F7_01"	"U_L2_F7_02"	"U_L2_F7_03"	"U_L2_M8_01"	"U_L2_M8_02"	"U_L2_M8_03"	"T_L4_D5_01"	"T_L4_D5_02"	"T_L4_D5_03"	"T_L4_D6_01"	"T_L4_D6_02"	"T_L4_D6_03"	"T_L4_F7_01"	"T_L4_F7_02"	"T_L4_F7_03"	"T_L4_M8_01"	"T_L4_M8_02"	"T_L4_M8_03"	"U_L5_D5_01"	"U_L5_D5_02"	"U_L5_D5_03"	"U_L5_D6_01"	"U_L5_D6_02"	"U_L5_D6_03"	"U_L5_F7_01"	"U_L5_F7_02"	"U_L5_F7_03"	"U_L5_M8_01"	"U_L5_M8_02"	"U_L5_M8_03"	"U_L3_D5_01"	"U_L3_D5_02"	"U_L3_D5_03"	"U_L3_D6_01"	"U_L3_D6_02"	"U_L3_D6_03"	"U_L3_F7_01"	"U_L3_F7_02"	"U_L3_F7_03"	"U_L3_M8_01"	"U_L3_M8_02"	"U_L3_M8_03"	"U_L3_D5_04"	"U_L3_D5_05"	"U_L3_D5_06"	"U_L3_D6_04"	"U_L3_D6_05"	"U_L3_D6_06"	"U_L3_F7_04"	"U_L3_F7_05"	"U_L3_F7_06"	"U_L3_M8_04"	"U_L3_M8_05"	"U_L3_M8_06"
"HMDB0001401|D-Glucose 6-phosphate"	0	0	0	0	0	0	0	0	0	0	0	0	13.513	12.407	12.079	13.539	11.627	11.635	10.819	12.102	11.686	12.381	12.226	13.048	3.847	3.698	3.889	4.223	4.142	4.087	5.399	5.408	5.333	4.176	3.888	3.808	16.58	16.285	16.41	17.378	17.656	17.456	17.711	17.656	17.635	16.934	16.915	16.948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000626|Deoxycholate"	14.239	14.018	14.35	14.002	14.326	18.021	14.285	15.972	14.284	14.807	13.775	14.511	20.059	20.598	19.716	20.227	20.499	20.533	20.393	19.841	20.753	20.381	19.661	20.014	1.52	1.528	1.577	1.523	1.468	1.517	1.555	1.503	1.553	1.483	1.53	1.543	17.965	17.99	18.056	18.108	18.006	18.205	17.992	18.138	18.068	17.969	18.199	18.124	22.916	22.936	22.895	22.828	22.92	22.882	22.935	22.979	22.967	22.857	22.934	22.935	23	22.978	22.885	22.899	22.937	22.886	23.013	22.987	22.969	22.918	22.896	22.906
"HMDB0001999|Eicosapentaenoate (EPA; 20:5n3)"	13.008	12.89	13.001	12.661	12.896	12.069	13.305	13.72	13.492	13.352	12.348	12.791	15.67	15.542	15.039	15.499	15.936	15.391	16.502	16.321	16.444	14.992	15.036	15.664	1.422	1.428	1.521	1.575	1.496	1.632	1.926	1.949	1.84	1.511	1.438	1.454	0	0	0	0	0	0	0	0	0	0	0	0	20.55	20.723	20.982	20.684	21.067	20.732	21.275	20.149	20.784	20.782	20.648	20.701	20.593	20.714	20.701	20.77	21.112	20.563	20.95	20.895	21.201	21.231	20.765	20.62
"HMDB0000613|Erythronate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.444	2.43	2.536	3.173	3.124	3.552	3.885	3.632	3.853	4.253	4.37	4.199	0	0	0	0	0	0	0	0	0	0	0	0	21.685	21.542	21.42	22.511	22.498	22.471	23.269	23.2	23.05	23.515	23.677	23.555	21.754	21.642	21.555	22.592	22.439	22.478	23.166	23.151	23.073	23.698	23.634	23.597
"HMDB0000134|Fumarate"	0	0	0	0	0	0	0	0	0	0	0	0	13.548	13.632	14.41	13.079	13.18	13.767	13.564	13.759	13.772	13.802	14.345	13.936	3.26	3.45	3.359	3.381	3.184	3.868	4.355	3.931	4.066	3.959	4.037	3.95	0	0	0	0	0	0	0	0	0	0	0	0	17.07	17.271	17.133	17.232	17.675	17.459	18.105	17.901	18.106	17.499	18.915	17.72	17.829	17.437	17.547	17.368	17.622	17.083	17.987	18.094	17.824	18.015	17.886	0
"HMDB0000148|Glutamate"	15.887	15.848	15.771	15.542	15.427	15.416	15.938	15.812	16.181	16.062	16.286	16.188	16.17	17.09	17.138	15.755	16.052	16.801	16.277	17.239	16.476	17.1	17.298	17.605	8.389	8.315	7.978	7.933	7.914	7.954	8.285	8.281	8.282	8.506	8.649	8.43	15.068	14.841	14.498	14.685	14.665	15.397	14.476	14.397	14.852	15.329	14.909	15.118	25.594	25.834	25.834	25.337	25.644	25.371	25.56	25.764	25.612	25.835	25.883	25.823	25.717	25.916	25.845	25.365	25.527	25.447	26.088	25.863	25.76	26.178	26.128	25.949
"HMDB0000641|Glutamine"	0	0	0	0	0	0	0	0	0	0	0	0	15.369	15.5	15.506	15.95	15.988	17.013	13.869	16.782	16.458	16.324	16.963	16.201	4.584	4.35	4.323	4.155	3.319	4.34	5.204	3.776	4.939	3.671	3.591	3.288	19.501	19.444	19.756	19.282	19.552	19.872	19.765	19.814	19.992	19.422	19.408	19.431	16.387	0	0	16.093	0	0	17.234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000139|Glyceric acid"	0	0	0	0	0	0	0	0	0	0	0	0	15.683	16.03	16.219	15.88	15.991	16.026	16.082	16.126	15.944	15.975	16.027	16.221	2.496	2.462	2.428	2.553	2.47	2.618	3.051	2.648	2.803	2.632	2.472	2.585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000123|Glycine"	0	0	0	0	0	0	0	0	0	0	0	0	13.217	13.615	13.533	14.182	13.914	14.457	13.818	13.976	14.285	13.98	14.055	14.045	10.781	10.926	10.995	11.634	11.651	11.787	11.859	11.983	11.915	11.748	11.895	11.813	15.375	15.296	15.598	16.522	16.562	16.397	15.949	16.233	15.748	15.808	15.796	15.575	24.498	24.47	24.502	25.178	25.277	25.131	25.395	25.461	25.394	25.357	25.337	25.326	24.546	24.548	24.5	25.265	25.297	25.266	25.584	25.47	25.444	25.437	25.402	25.371
"HMDB0000721|Glycyl-L-Proline"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.101	2.131	2.05	2.379	2.322	2.356	2.727	2.611	2.646	2.417	2.43	2.428	12.963	12.719	12.973	12.463	12.553	13.487	12.382	13.019	13.129	13.014	12.915	12.838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
