run	Method	Accuracy	Precision	Recall	F1_Score	MCC	ARI
9	mild_imbalanced_BC_Cntrl_2cls	0.52	0.5	0.6423611111111112	0.5623100303951368	0.05077438236084079	-6.324746369129971e-5
9	mild_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
9	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
9	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
1	strong_imbalanced_BC_Cntrl_2cls	0.58	0.5	0.23809523809523808	0.3225806451612903	0.08104408984731078	0.015501909401271156
1	strong_imbalanced_BC_Fed_2cls	0.9516666666666667	0.899641577060932	0.996031746031746	0.9453860640301319	0.9059990988849981	0.8156896406130902
1	strong_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
1	strong_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
10	strong_imbalanced_BC_Cntrl_2cls	0.62	0.65	0.20634920634920634	0.3132530120481927	0.18278161728143277	0.04371569558991168
10	strong_imbalanced_BC_Fed_2cls	0.915	1	0.7976190476190477	0.8874172185430463	0.8340669881853152	0.6875761343816227
10	strong_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
10	strong_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
11	strong_imbalanced_BC_Cntrl_2cls	0.62	0.65	0.20634920634920634	0.3132530120481927	0.18278161728143277	0.04371569558991168
11	strong_imbalanced_BC_Fed_2cls	0.6766666666666666	0.9264705882352942	0.25	0.39375	0.3668717136488565	0.11064698782625197
11	strong_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
11	strong_imbalanced_AC_Fed_2cls	0.9866666666666667	0.9692307692307692	1	0.9843749999999999	0.9731133552274451	0.9472695272327565
12	strong_imbalanced_BC_Cntrl_2cls	0.5766666666666667	0.4918032786885246	0.23809523809523808	0.32085561497326204	0.0734973364576906	0.013581452771033675
12	strong_imbalanced_BC_Fed_2cls	0.7516666666666667	0.7068273092369478	0.6984126984126984	0.7025948103792414	0.4894721339428458	0.251608521048081
12	strong_imbalanced_AC_Cntrl_2cls	0.51	0.4553191489361702	0.8492063492063492	0.592797783933518	0.13606575660554693	-0.00900880591230036
12	strong_imbalanced_AC_Fed_2cls	0.75	0.7125	0.6785714285714286	0.6951219512195121	0.4838843753108285	0.24805574078686254
13	strong_imbalanced_BC_Cntrl_2cls	0.59	0.6363636363636364	0.05555555555555555	0.10218978102189781	0.08552499374980313	0.010418585724239073
13	strong_imbalanced_BC_Fed_2cls	0.945	0.9699570815450643	0.8968253968253969	0.931958762886598	0.8878407718693283	0.7915115527081698
13	strong_imbalanced_AC_Cntrl_2cls	0.5816666666666667	0.6666666666666666	0.007936507936507936	0.01568627450980392	0.035427889776355394	0.0015949151698338973
13	strong_imbalanced_AC_Fed_2cls	0.9433333333333334	0.9658119658119658	0.8968253968253969	0.9300411522633745	0.8842433380297042	0.7855801858180601
14	strong_imbalanced_BC_Cntrl_2cls	0.58	0.5	0.23809523809523808	0.3225806451612903	0.08104408984731078	0.015501909401271156
14	strong_imbalanced_BC_Fed_2cls	0.615	1	0.08333333333333333	0.15384615384615385	0.22379981185389242	0.031237294990787996
14	strong_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
14	strong_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
15	strong_imbalanced_BC_Cntrl_2cls	0.58	0.5	0.23809523809523808	0.3225806451612903	0.08104408984731078	0.015501909401271156
15	strong_imbalanced_BC_Fed_2cls	0.5633333333333334	0.2916666666666667	0.027777777777777776	0.05072463768115941	-0.053075636608167796	-0.00600487138010909
15	strong_imbalanced_AC_Cntrl_2cls	0.5783333333333334	0	0	0	-0.03476940327449186	-9.193896821312099e-4
15	strong_imbalanced_AC_Fed_2cls	0.5633333333333334	0.2222222222222222	0.015873015873015872	0.02962962962962963	-0.07047151549242864	-0.00692297438533423
2	strong_imbalanced_BC_Cntrl_2cls	0.62	0.65	0.20634920634920634	0.3132530120481927	0.18278161728143277	0.04371569558991168
2	strong_imbalanced_BC_Fed_2cls	0.5933333333333334	0.9	0.03571428571428571	0.06870229007633587	0.1266125015838412	0.011082317259755083
2	strong_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
2	strong_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
3	strong_imbalanced_BC_Cntrl_2cls	0.62	0.65	0.20634920634920634	0.3132530120481927	0.18278161728143277	0.04371569558991168
3	strong_imbalanced_BC_Fed_2cls	0.92	1	0.8095238095238095	0.8947368421052632	0.8434451442741913	0.7043934594504941
3	strong_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
3	strong_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
4	strong_imbalanced_BC_Cntrl_2cls	0.54	0.2	0.031746031746031744	0.0547945205479452	-0.1191296925623991	-0.013498331780809118
4	strong_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
4	strong_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
4	strong_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
