"rowname"	"Ref8537_QC1_20230414_1"	"Ref8537_QC3_20230414_1"	"Ref8537_QC4_20230414_1"	"Ref8537_S11_20230414"	"Ref8537_S35_20230414"	"Ref8537_S49_20230414"	"Ref8537_S52_20230414"	"Ref8537_S60_20230414"	"Ref8537_S65_20230414"	"Ref8537_S69_20230414"	"Ref8537_S75_20230414"	"Ref8537_S79_20230414"	"Ref8537_S82_20230414"	"Ref8537_S88_20230414"	"Ref8537_S94_20230414"	"Ref8537_S100_20230414"
"P00961"	163423000	173831000	174091000	161914000	154102000	171996000	166013000	170231000	173919000	163579000	173575000	178878000	171308000	175591000	175917000	168190000
"P77541"	6528270	NA	NA	9250400	5090560	4875630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P0A6C1"	14962700	16606500	17544800	16564300	14143700	12162600	14878200	16600800	14648800	14165500	16529000	16903400	18229600	16604200	14558700	17490300
"P27306"	52182700	13353200	14292800	42636500	44970700	46931600	13646300	15480900	14501300	12439300	16583100	13939300	14613700	13670000	13959100	14460700
"P0ACB7"	57960200	51205900	47411800	65058300	51853600	65664600	49301800	46623900	46802400	57176100	45545800	51383800	46320600	45646400	57138400	46253300
"P0A9U6"	2136480	1620340	1160090	2182130	2385100	2674480	1597410	1860020	1674070	1831680	1655980	1516090	1673070	1608220	1586760	1696860
"P28249"	45492200	37582300	37931500	48187500	44729400	47818400	37496800	37691300	36814000	40434800	36888000	37857400	38242300	36976200	38236500	38199700
"P07813"	91048000	103781000	102991000	87181300	81193100	86240600	100664000	102875000	104931000	85995400	108180000	100859000	103688000	103797000	99062600	103474000
"P0A870"	197443000	147563000	142041000	201550000	180405000	221195000	135353000	138256000	142561000	150519000	145691000	163159000	146444000	140440000	164336000	142872000
"P30864"	107409000	87677700	82483600	121952000	113259000	80911500	84844600	95511000	93337300	64273600	99618600	92520200	101289000	105253000	81302100	96069700
"P0ACE0"	24509800	26975400	23667400	16550900	23638300	19665400	25452400	23868900	19968400	20319200	15920300	21554300	23767600	28612200	20456400	23138200
"P0A8R9"	6572940	5970060	6709310	5410740	5626080	4685960	6078290	6465200	7436260	3964380	6814980	5192500	6780880	7006000	5236990	5857340
"P21513"	75332200	86841000	85318400	74393700	70432000	85999000	87997700	85974500	86826100	88141000	82285800	89715200	82145500	82806800	90347400	84001000
"P77171"	23408600	10698000	10963700	31593100	23407100	29233400	9882990	9786580	11751600	11451000	14697400	10491500	10876800	9804270	13146400	10491900
"P76116"	153696000	114480000	155007000	198157000	143801000	172153000	161625000	155894000	189004000	163424000	202314000	202258000	230583000	178402000	93109600	247132000
"P00934"	469877000	397424000	384412000	575680000	502505000	556429000	396866000	385612000	373595000	403439000	388269000	394701000	398147000	395310000	385300000	394012000
"P0ABC7"	101160000	95875700	100403000	116857000	96292500	103413000	100224000	106347000	104934000	112051000	107276000	102567000	103390000	95146400	108704000	99505900
"P77649"	4276390	3362280	3660780	6940890	4729110	5113470	3212840	3797260	3602690	2929910	4568940	4095490	4078480	3379050	3880150	3959760
"P0ABA4"	103196000	71715500	68120000	97893100	92476300	70816500	63652700	75625700	73862300	56680600	73483600	70890600	76039600	70747600	65641500	69679600
"P77748"	58419600	65214700	62460500	52183100	56440400	51912400	61076000	64298000	64634400	52381600	61861900	59810700	60753500	65820500	65279600	57720800
"P0ABJ1"	142200000	91411800	99579700	169681000	138724000	129489000	81906100	90486900	98619700	89595100	97739300	98595100	102199000	81836100	99158400	83394700
"P65870"	7457430	7823390	7897010	8692710	7425320	5000650	7165040	9037740	6213410	6502750	8936190	7215050	7863590	6485400	6361660	7668820
"P0A9J0"	15169700	22948500	24599800	17446500	15783000	17555600	24221000	24063200	25363200	21657300	24445400	24464000	23349600	23552300	23692900	24346600
"P0AD59"	66868000	44788300	33729700	85726800	68323600	68488900	41803800	45356100	40362100	42233900	32838800	42580000	39030700	40616600	41448500	37924000
"P39451"	557794	183361	219225	1501060	532509	317629	161547	369844	329331	215395	488244	234461	434414	207040	160862	299089
"P05041"	5382310	5734190	6326980	5276420	5476820	4426850	5432970	5925130	5769330	4124060	6045190	5235730	6773630	6389940	5149670	6635840
"P00888"	39570700	30646400	23023700	48713500	37207400	41150700	28183800	26137600	25448600	27749800	24889800	22853500	21581200	23990500	28710500	23019600
"P0ABE2"	11278100	8986440	10940100	8046020	8229680	6570700	8866880	10646700	10386800	6834310	9769240	9193470	11272200	10176000	8395380	10091600
"P0AC02"	191792000	194819000	169280000	201965000	201455000	228689000	196388000	198298000	197920000	229481000	178632000	209255000	176324000	177232000	229873000	179186000
"P24182"	76663300	91290900	92751000	83142800	68807800	74236400	96058200	93640700	94225600	83641200	97553400	93500300	95607700	94459600	91733300	91716700
"P33650"	32175400	29517100	36911000	20025400	30322900	24122600	30853500	41142600	41361500	29086600	38727600	29863900	42230400	40802600	20667100	47306100
"P0A7L0"	464831000	771736000	717614000	461905000	425342000	558274000	753689000	652402000	741950000	857142000	658812000	788975000	654090000	676983000	835083000	621714000
"P63284"	132498000	139990000	132705000	131455000	118586000	132912000	127787000	130841000	119080000	121096000	104757000	140216000	131310000	141114000	120585000	121003000
"P31455"	7654380	8039960	6779510	7367270	6378760	8106250	7245180	7218050	7706710	6945800	6697760	7700900	7384780	7307800	7792920	6795890
"Q46893"	9021580	8396860	7685250	8082010	9154090	9722420	7645430	7591950	8530920	7781790	6849280	8062090	7531900	7901980	8436940	7703520
"P11454"	46378800	50295100	65204500	66473800	43706100	46079100	59297300	55649100	65893400	46945100	78901300	77929500	94472200	72345900	25675000	98227000
"P13482"	34502500	19254200	18602600	46041800	31768300	37398600	21487200	20799900	19213500	23678400	19306400	21841200	19362100	18608500	21392300	18996800
"P0A6Z3"	139201000	140315000	143559000	148234000	129974000	153701000	132616000	132596000	131023000	139353000	124847000	155038000	142607000	142912000	140708000	138413000
"P0AAX8"	62087700	64698200	53861700	68698900	69672000	71395200	67413300	73375900	61683400	84815600	66752300	68687300	63102300	64160100	70718300	70291100
"P31677"	32331200	27235400	33057600	46400200	32806600	31463900	28435800	35050700	30277400	26446100	34664500	33849400	35009600	32783700	27950300	35445500
"P26616"	38631700	22890800	24950900	38109900	37662700	35429900	22310300	24725200	25930500	17251700	27061300	24652300	25510000	25049600	23383700	25255100
"P24193"	14236300	14519400	14226100	10732200	14914300	9639180	15450300	14071300	14115200	11948400	13018300	12070800	16815700	17892600	11156800	16305900
"P00634"	6471560	5597760	4498740	7616140	7689010	7445200	5598790	5962740	5084620	6516980	5662260	5610820	5570950	4785910	5557320	5716590
"P0AGB0"	9318180	11585700	12323000	8973370	9323010	9226890	11820200	13279700	12305200	10400400	14310800	10702400	13175700	12303900	10989000	13492200
"P0AC41"	723046000	127805000	152015000	511126000	536867000	648831000	107258000	124225000	172040000	104457000	172339000	143052000	130257000	100641000	181664000	122559000
"P77475"	13658300	16322800	13675400	18780800	13952400	14493700	17231600	14668100	16512300	17387000	15274900	15786100	13434900	13435200	15742600	13567300
"P21151"	41532700	7047180	9700800	60460000	37841500	50140300	7223420	10240900	7967880	8661550	11109400	9555690	8762550	9049750	10834100	9152900
"P0AD27"	18781200	16439900	15612500	21763300	19962600	23153800	15631200	16354900	16230100	17187000	16222100	16977500	16432800	16609600	17393200	15763300
