rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
P02916,17.516383831442575,17.743801405870855,17.644740096867395,18.220270284362847,18.20045488249248,17.78343879100943,17.440664872110297,17.984578155474992,18.314258083186445,18.590486125083515,18.5389052472172,18.23783781282671,18.583011276972364,18.642692944312515,17.675349202465704
P02918,20.53454806691153,20.502228853308385,20.494100932633042,20.63232048376414,20.527569901319794,20.518484317115238,20.27778043769711,20.474267312369765,20.434327060375267,20.393890156749265,20.431651704248775,20.386301148567547,20.397452257634875,20.437611412141585,20.548421439624683
P02919,21.50330936922947,21.302018865594718,21.44626563305012,21.317508958719333,21.07072087431186,21.04430100061652,20.902542127373746,21.09285099531132,21.012927287544677,20.953831578104197,21.001981473068252,21.002717397524844,21.003313608341674,21.029058782616765,21.411233653362626
P02924,20.864071902371837,21.009761949931548,20.99522524863175,20.737831465199502,18.043107042518578,18.19124352555421,17.476958228607987,18.147072149897163,18.350297247300908,18.217980132764914,18.355386387407755,18.190853641305846,17.724781316222504,18.079688789231177,20.706779718332193
P02925,25.169672692433643,25.46649079399949,25.206322475617085,25.387440036953556,22.988329753538814,23.04914331497214,23.009959367618407,22.821975326535735,23.05154859946954,23.217039027410888,22.983000245946172,22.87266178257371,23.004541871177533,22.88633236081403,25.238837386124526
P02929,19.528636156717393,19.794230040087086,19.48357823893118,20.64611845955607,20.93870911619762,20.977775057129268,21.308299714103708,20.844424998654976,20.814336936700258,20.901412748868054,20.82546339223925,20.760617803099112,20.856388430293652,20.754067999203446,20.370371549018973
P02930,23.868836078326634,24.062801600389932,23.915330860603653,23.97740328926091,23.793601897132294,23.88516067700317,23.91598680706311,23.655070355585814,23.862205002830095,23.92627429532905,23.75359686242864,23.82946011162283,23.828986140679312,23.753816005068686,23.95669052298574
P02931,27.57101409031016,27.760133631251502,27.785891475794067,27.317076550528064,26.169885065511767,26.163720812249945,26.070146004333665,26.163044424952712,26.18403019996586,26.04450232237825,26.06740259631714,26.18824749019015,25.970750758987876,26.09890532353982,27.499296466086754
P02942,18.99496490925641,19.341132007419766,19.331684723711973,19.942937452467973,19.038820302484886,19.01055656836776,17.598621030907125,17.897056736548194,18.775263216650295,17.708009312603792,17.938237332133248,18.86565891648676,18.319170322444023,19.18436075455738,19.77175823210152
P02942;P07017,19.154640678008036,19.541199439235633,19.579459265275247,20.414644171487097,17.019928647201326,17.437811140388888,,18.061105154201886,17.743326250630457,17.446218477939677,17.368799113779676,16.62118977908495,17.38429607672155,,19.914152554036946
P02942;P07017;P07018;P50466,19.673751648756514,20.105419821980668,20.231440185572545,21.195186029910516,16.446666173356057,16.376603215451517,16.64692684545352,18.180681698222514,17.13235659248081,16.70033464036834,16.35188959141245,16.071115784613816,15.922030960956453,,20.63657876216083
P02943,21.70058661691307,21.913431201521753,21.754512587087888,22.129699920035705,21.598829439311615,21.371539405267058,21.290799197987084,21.538266101023602,21.788791713468342,22.133938851539426,21.833663649069806,21.82941952577186,22.019607272692234,21.88115036586303,21.936198528905578
P03004,21.08336625800253,21.041587000691553,21.07474717395751,21.01228392748182,21.06421077394922,21.02625065195042,21.052468113303995,21.05295264075037,21.0406622952438,21.09897618099847,21.068381525493784,21.014372358346506,21.06089353509825,21.081333913755618,21.152967632486906
P03007,18.07743914791323,18.005342317062816,18.18632294743123,18.121301736347363,17.86152187152533,18.00047600553341,18.1259090902444,18.228935263715073,18.23644254392332,18.062528152650142,18.176148153279208,18.140232856707907,18.104601141763062,18.019449201625775,17.94128637479721
P03018,20.387272355926314,20.30456145057566,20.369686799488832,20.215205743482507,20.193330511252434,20.161648170390798,20.089302143302945,20.153936526829305,20.230028046799355,20.14863367156014,20.166903490548222,20.134973889806858,20.15628710931157,20.219234807885897,20.409845207460613
P03023,19.174917638070482,19.126033997286882,19.199901344387904,19.158276290769493,19.12078169202055,19.070836412638236,19.12190673449652,19.097168214527827,19.042800129133163,19.043396288842544,19.14055744853134,19.094803269071413,19.06337469477262,19.022954899517387,19.201773845641753
P03024,19.056534338254753,19.120633444308385,19.00709697144289,18.895601879404502,18.9458993261455,19.068835089601443,19.10205100992458,19.062066177552616,19.132558771700925,19.14941097853012,18.959043237220687,19.093663933277497,19.002552645717884,19.042987039015287,19.027047520883066
