rowname	DDA_NVG_D5_1	DDA_NVG_D6_1	DDA_NVG_F7_1	DDA_NVG_M8_1	DDA_NVG_D5_2	DDA_NVG_D6_2	DDA_NVG_F7_2	DDA_NVG_M8_2	DDA_NVG_D5_3	DDA_NVG_D6_3	DDA_NVG_F7_3	DDA_NVG_M8_3
40S ribosomal protein S7	21.70582621753309	21.58921424285919	21.80974831654849	21.72680156856179	21.62256090038429	21.99698821984989	21.82415355131349	21.73643071865689	21.86362115164669	21.71555756476209	22.02688831388189	21.89821384396479
Amidophosphoribosyltransferase	19.359521615680634	19.591545264024834	19.470002211592934	19.129390900206534	19.475856717125435	19.295976940287435	19.609798006497336	19.359478200751035	19.557167832181435	19.383485147524436	19.501273870817734	19.348221719905435
Heterogeneous nuclear ribonucleoprotein Q	20.990320582526113	20.775503839497613	20.890667700341215	20.926242224083914	21.000676107304212	20.861300317956914	21.004562315894912	20.938624938616513	21.015398585239414	20.983286187298415	21.004190551329213	20.924098177497015
Syntaxin-11	18.247444687288112	18.244885188992512	18.439253549897412	18.030990713376312	18.354872196693414	18.162929318745313	18.07533211194391	18.296207813416913	18.023843651234213	18.14571018742741	18.329481590133412	17.852164398296612
C-myc promoter-binding protein	19.66234049440015	19.34945716735115	19.373297829014053	19.761434598023353	19.38660204966975	19.181480976941252	19.182046610381754	19.002873220392452	19.307362338693153	19.171396115351254	17.78500676522455	19.37803455137455
Chloride intracellular channel protein 6	19.514117117068263	18.75975137278516	18.82238541767566	18.891933187414562	19.52128691496076	18.694590565831763	19.270096686841363	19.091979729452962	19.490826054789363	18.784846143414562	19.06973838559616	18.79520872832436
Scaffold attachment factor B1	19.57483192580545	19.607380478785252	19.705973255616854	19.637458133658452	19.59936426077285	19.538837964259752	19.511453223291053	19.680209545366054	19.462843471535354	19.678196017318953	19.640051794999852	19.53343082379355
Putative RNA-binding protein 15	18.398993563262877	18.214581937841675	18.160221245413975	18.282569221874077	18.516997956484577	18.464542128798076	18.156432528008676	18.282420326117276	18.559126776725577	18.321751338354275	18.123657533817376	18.323276705870576
Tapasin	20.420671830006224	21.053997208067724	20.020431618674923	20.330401369327323	20.250975321354623	20.421687642912325	20.485899849871124	20.062688088863926	19.906836847027925	20.603041716653724	20.336773206097824	20.242910740973922
Nucleoside diphosphate kinase A	21.475574375798995	21.255555285048697	21.258762623345696	21.240247670895297	21.193790376540296	21.340709870775594	21.240292421970494	21.256089749234196	21.343022113788795	21.249637277478296	21.558422586816395	21.267418262403297
Adenylosuccinate synthetase isozyme 2	19.590891364826867	19.514430894051067	19.189146293963667	19.35747331833117	19.77133061847587	19.493394943297567	19.700874002875267	19.62065878824177	19.49401730374537	19.78127191917107	19.577560684346867	19.54383181620877
Fatty acid-binding protein, epidermal	21.232961718813186	21.024650090622487	21.176309064983986	21.365305239853985	21.258788686770686	21.085515160936787	21.138960637217785	21.371713553881587	21.288251090871487	21.138155003128688	21.194050612591486	21.312445589032087
Vigilin	19.119599258569686	19.517098015367786	19.352106877872984	19.483836958351585	19.211697419463786	19.579164690370284	19.427918002484486	19.225373543388287	19.179575106773186	19.411084464223887	19.463238517043585	19.433023441995687
HD domain-containing protein 2	18.827452336456645	18.66829840238755	18.86279496857545	19.02979740271445	18.845027884387548	18.89004439639885	19.066693318354048		18.80448489174355	18.54716871536695	18.90062806355735	18.90632068105755
Phosphoglycolate phosphatase	18.547662895152513	18.677616362935012	18.916988052110714	19.074585792992913	18.619123057953214	18.987066962581913	18.712051141315314	18.399199974038414	18.213891089127213	18.608034083126714	18.580954858841714	18.490231155857714
Golgin subfamily A member 2	18.33616724540544	18.992552103872743	18.90644084411944	18.390247620006743	17.977683669200744	18.486158407834342	18.90624695136714	18.72672846415174	18.436215317811342	18.84838462629474	18.75060075825754	18.548490495316543
HLA class I histocompatibility antigen, alpha chain G	19.4033289790045	19.5465453982231	19.5141905418063	19.2311806877537	19.4872569918715	19.4873866155457	19.6340218424989	19.3355082658019	19.4203678667667	19.6060648276306	19.5700776646292	19.3800800468546
Galectin-1	22.234651551725307	21.610151669707406	21.866394694822706	21.486596852887708	22.231917514602404	21.793286400363208	21.868042335475607	21.316541346588608	22.338687714006404	21.747761225341307	21.624917875555106	21.359567909077505
Helicase SKI2W		18.482314724714403	18.551137692690602	18.974269674664903	18.6471259237863	17.975293949998104	18.348446999825203	18.116785464193303	17.791467064993302	19.0742733461853	18.8124346399868	18.798679912277102
SWI/SNF complex subunit SMARCC1	18.744530664153064	18.417660601518964	19.195455939626562	19.467306854571564	18.400393556899562	18.634916784941264	18.983985574574064	18.273340924235864	19.570081353277864	18.156979047603862	18.304505501246663	19.544659099181263
Lamin-B receptor	19.69753639164846	19.425370800829157	19.141824300825856	19.30840418921066	19.523322849098257	19.665007097076757	19.380568915004957	19.34878139768376	19.68082957965956	19.68355476060506	19.70440793431546	19.41642993862696
TNFAIP3-interacting protein 1	19.32280707196892		18.46511773966742	19.27818697514632	18.72045163425422	18.81199367796932		19.20778324666362	18.92176022007712	18.24807647911552	18.81344749413722	19.73184746741492
