"rowname"	"DDA_APT_D5_1"	"DDA_APT_D6_1"	"DDA_APT_F7_1"	"DDA_APT_M8_1"	"DDA_APT_D5_2"	"DDA_APT_D6_2"	"DDA_APT_F7_2"	"DDA_APT_M8_2"	"DDA_APT_D5_3"	"DDA_APT_D6_3"	"DDA_APT_F7_3"	"DDA_APT_M8_3"	"DIA_APT_D5_1"	"DIA_APT_D6_1"	"DIA_APT_F7_1"	"DIA_APT_M8_1"	"DIA_APT_D5_2"	"DIA_APT_D6_2"	"DIA_APT_F7_2"	"DIA_APT_M8_2"	"DIA_APT_D5_3"	"DIA_APT_D6_3"	"DIA_APT_F7_3"	"DIA_APT_M8_3"
"Secernin-1"	19.3842164802032	19.1081120595501	19.0396259892667	19.2868565485839	19.177456408634	18.9759568280093	19.2186618556302	19.2209872935635	19.2441416604616	19.0795093242394	19.2105761603206	19.1566485845069	19.7608701240262	19.4347624226407	19.6892620943593	19.7040155857307	19.7534218444924	19.5683942389649	19.6174114966088	19.7218794964534	19.7681645857837	19.5258673901315	19.6728433237925	19.6627074457504
"Secernin-2"	18.1728798806047	18.1821249966029	18.1040192696758	18.3918374129738	18.2561863816907	18.5349853184606	18.1449916145905	18.3075109191937	18.3555181782947	18.1428897990204	18.3324395428169	18.192591722318	17.7533330223466	17.5596318471862	17.8407731739428	18.246015478244	17.684655605707	17.3234093305412	17.8179170170421	18.2950342755461	17.7798766500389	17.5537623396136	18.0431427910233	18.3123335254784
"Secretory carrier-associated membrane protein 2"	18.8774195920391	19.2259322177047	19.206586224264	19.1198338508176	19.1955834299533	19.1880599824824	19.1339972044608	19.2980342935745	19.1159259600057	19.2825813619882	19.4479897372344	19.2683562420263	19.2016456370714	19.3701168286699	19.2453902161251	19.4612806526099	19.135478828405	19.430740384618	19.2459618177429	19.472648567838	19.2196790531212	19.7212776517777	19.1080177371366	20.2410322936602
"Secretory carrier-associated membrane protein 3"	19.3971611101924	19.0642090973295	18.9979593869807	19.0225179859731	19.3454121230876	19.0545825521279	19.1375589539922	19.1214353427713	19.1941838032394	19.1411962632582	19.0712235243906	19.1243985092872	19.2988427833393	19.2108201232484	19.1275860346111	19.1948964715227	19.2894755973167	19.1628373977039	19.2555527373088	19.14733802233	19.3362672506978	19.1440860114391	19.1026913244541	19.0013159066965
"Sedoheptulokinase"	NA	18.0443228214177	NA	NA	NA	18.1684727892104	NA	NA	16.4427640588663	17.3143003662481	17.5935424475555	NA	16.871759881644	17.6740181191839	17.235861001889	16.3118331250099	17.3540242062102	16.6885143131861	17.5016627308569	16.831899347415	17.2852394237186	17.2840954652895	17.6059119627822	16.1368658158468
"Selenide, water dikinase 1"	18.1423047714514	18.3502454539123	18.3873666478313	18.3150605816735	18.184638762553	18.2184186506476	18.0954767866717	18.137875108809	18.1391973539306	18.3928731751724	18.3872142665934	18.3383818239265	18.6221521904754	18.7521714528164	18.3916295490347	18.825080757775	18.4565174565375	18.8059638854679	18.5604796322623	18.7580668730463	18.4652676525815	18.7148285389441	18.5712952001088	18.6983105507988
"Selenocysteine lyase"	18.7430837559303	18.3989662432843	18.6289687229027	18.2233018376657	18.7362347084954	18.5317521267546	18.452523774994	18.22229554104	18.576249495421	NA	18.4309761757338	18.380690850392	19.0128900951077	18.8464154555869	18.9067670447869	18.5443950991906	18.8520261214445	18.6935593295194	18.6041115333488	18.3597378877387	18.845729148954	18.688224348951	18.8660518281854	18.1972212703404
"Selenocysteine-specific elongation factor"	18.5788121328911	18.1375729452933	18.2270736159563	18.2375423922259	18.4771851032365	18.2678632086113	18.3592126808137	18.3955146629547	18.1622927734921	18.3891024484401	18.12295347101	18.1282543299416	17.993111468641	18.3310455251719	18.6377825879055	18.4121752565113	18.6505333372507	18.6064909481393	18.1514017209263	18.3026693170576	18.4901039480751	18.7988693245548	18.5847472163012	18.4874938743458
"Semaphorin-4A"	18.1531613386904	18.420502521761	18.3880937506434	18.5043814387941	18.2611559004348	18.3510023055867	18.5561995021297	18.7160370089463	18.386876684014	18.1827028702737	18.1776302273248	18.557058516519	18.1074781480321	18.1116141466596	17.7121649926217	18.5436132691895	18.0800064896423	18.0672013982051	17.853786888755	18.5005002227634	18.196273024517	18.3531188364179	17.7564709010088	18.5498160917493
"Semaphorin-7A"	18.6090924524165	NA	19.0592825710721	19.0421264477283	NA	19.3572831853589	18.9491135058701	19.1006623558636	NA	NA	18.9844546643229	19.2874316605725	17.9519412705219	18.5244423779868	19.2058649269651	19.0374363020182	17.4609469668242	18.9052152230068	18.9926757043468	19.6176427782024	18.2916685464261	18.9969864791849	19.2687772693061	18.8549322626772
"Sentrin-specific protease 3"	17.8405642022812	18.4042223446991	NA	NA	NA	NA	NA	NA	17.9769105576881	NA	NA	NA	17.1686065222741	18.5071768484918	18.8082268760127	16.3035397246087	16.6861705054688	18.424820092996	18.476790060574	17.3855215088896	17.3840152701931	16.8250166451403	17.8388191157041	16.1501917648084
"Sepiapterin reductase"	NA	NA	NA	NA	NA	NA	NA	17.0930871458589	NA	NA	16.8105052829107	17.2115957169214	16.9022168814946	15.0995339695299	15.9146187240975	16.1059096358408	15.6540076470218	NA	17.1672789543593	16.0166557373061	NA	14.9450410989406	14.9104913685695	15.8558058278714
